objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year
,Phungling Nagarpalika,TAPLEJUNG,Phungling,Nagarpalika,1,1,6,10106,524 1 01 3 001,NP0101301,nu_of_sex_r,89.41,Sex_Ratio,,Number_of_Pop,
,Phaktanglung Gaunpalika,TAPLEJUNG,Phaktanglung,Gaunpalika,1,1,5,10101,524 1 01 4 001,NP0101401,nu_of_sex_r,95.81,Sex_Ratio,,Number_of_Pop,
,Mikwakhola Gaunpalika,TAPLEJUNG,Mikwakhola,Gaunpalika,1,1,4,10102,524 1 01 4 002,NP0101402,nu_of_sex_r,88.98,Sex_Ratio,,Number_of_Pop,
,Sirijangha Gaunpalika,TAPLEJUNG,Sirijangha,Gaunpalika,1,1,8,10108,524 1 01 4 003,NP0101403,nu_of_sex_r,89.88,Sex_Ratio,,Number_of_Pop,
,Meringden Gaunpalika,TAPLEJUNG,Meringden,Gaunpalika,1,1,3,10103,524 1 01 4 004,NP0101404,nu_of_sex_r,86.2,Sex_Ratio,,Number_of_Pop,
,Maiwakhola Gaunpalika,TAPLEJUNG,Maiwakhola,Gaunpalika,1,1,2,10104,524 1 01 4 005,NP0101405,nu_of_sex_r,88.89,Sex_Ratio,,Number_of_Pop,
,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,1,1,10105,524 1 01 4 006,NP0101406,nu_of_sex_r,87.03,Sex_Ratio,,Number_of_Pop,
,Yangwarak Gaunpalika,TAPLEJUNG,Yangwarak,Gaunpalika,1,1,9,10107,524 1 01 4 007,NP0101407,nu_of_sex_r,86.28,Sex_Ratio,,Number_of_Pop,
,Sidingba Gaunpalika,TAPLEJUNG,Sidingba,Gaunpalika,1,1,7,10109,524 1 01 4 008,NP0101408,nu_of_sex_r,91.38,Sex_Ratio,,Number_of_Pop,
,Phidim Nagarpalika,PANCHTHAR,Phidim,Nagarpalika,1,2,15,10904,524 1 02 3 001,NP0102301,nu_of_sex_r,88.99,Sex_Ratio,,Number_of_Pop,
,Hilihang Gaunpalika,PANCHTHAR,Hilihang,Gaunpalika,1,2,12,10902,524 1 02 4 001,NP0102401,nu_of_sex_r,86.79,Sex_Ratio,,Number_of_Pop,
,Yangwarak Gaunpalika,PANCHTHAR,Yangwarak,Gaunpalika,1,2,17,10107,524 1 02 4 002,NP0102402,nu_of_sex_r,90.82,Sex_Ratio,,Number_of_Pop,
,Falelung Gaunpalika,PANCHTHAR,Falelung,Gaunpalika,1,2,10,10903,524 1 02 4 003,NP0102403,nu_of_sex_r,89.24,Sex_Ratio,,Number_of_Pop,
,Kummayak Gaunpalika,PANCHTHAR,Kummayak,Gaunpalika,1,2,13,10906,524 1 02 4 004,NP0102404,nu_of_sex_r,84.9,Sex_Ratio,,Number_of_Pop,
,Falgunanda Gaunpalika,PANCHTHAR,Falgunanda,Gaunpalika,1,2,11,10905,524 1 02 4 005,NP0102405,nu_of_sex_r,85.76,Sex_Ratio,,Number_of_Pop,
,Tumbewa Gaunpalika,PANCHTHAR,Tumbewa,Gaunpalika,1,2,16,10907,524 1 02 4 006,NP0102406,nu_of_sex_r,87.57,Sex_Ratio,,Number_of_Pop,
,Miklajung Gaunpalika,PANCHTHAR,Miklajung,Gaunpalika,1,2,14,10908,524 1 02 4 007,NP0102407,nu_of_sex_r,84.89,Sex_Ratio,,Number_of_Pop,
,Deumai Nagarpalika,ILAM,Deumai,Nagarpalika,1,3,19,11004,524 1 03 3 001,NP0103301,nu_of_sex_r,92.71,Sex_Ratio,,Number_of_Pop,
,Illam Nagarpalika,ILAM,Illam,Nagarpalika,1,3,21,11003,524 1 03 3 002,NP0103302,nu_of_sex_r,93.56,Sex_Ratio,,Number_of_Pop,
,Suryodaya Nagarpalika,ILAM,Suryodaya,Nagarpalika,1,3,27,11009,524 1 03 3 003,NP0103303,nu_of_sex_r,96.63,Sex_Ratio,,Number_of_Pop,
,Mai Nagarpalika,ILAM,Mai,Nagarpalika,1,3,22,11008,524 1 03 3 004,NP0103304,nu_of_sex_r,91.34,Sex_Ratio,,Number_of_Pop,
,Fakphokthum Gaunpalika,ILAM,Fakphokthum,Gaunpalika,1,3,20,11005,524 1 03 4 001,NP0103401,nu_of_sex_r,87.88,Sex_Ratio,,Number_of_Pop,
,Sandakpur Gaunpalika,ILAM,Sandakpur,Gaunpalika,1,3,26,11002,524 1 03 4 002,NP0103402,nu_of_sex_r,94.14,Sex_Ratio,,Number_of_Pop,
,Maijogmai Gaunpalika,ILAM,Maijogmai,Gaunpalika,1,3,23,11001,524 1 03 4 003,NP0103403,nu_of_sex_r,97.28,Sex_Ratio,,Number_of_Pop,
,Chulachuli Gaunpalika,ILAM,Chulachuli,Gaunpalika,1,3,18,11007,524 1 03 4 004,NP0103404,nu_of_sex_r,86.43,Sex_Ratio,,Number_of_Pop,
,Mangsebung Gaunpalika,ILAM,Mangsebung,Gaunpalika,1,3,24,11006,524 1 03 4 005,NP0103405,nu_of_sex_r,95.72,Sex_Ratio,,Number_of_Pop,
,Rong Gaunpalika,ILAM,Rong,Gaunpalika,1,3,25,11010,524 1 03 4 006,NP0103406,nu_of_sex_r,96.34,Sex_Ratio,,Number_of_Pop,
,Damak Nagarpalika,JHAPA,Damak,Nagarpalika,1,4,33,11107,524 1 04 3 001,NP0104301,nu_of_sex_r,89.35,Sex_Ratio,,Number_of_Pop,
,Shivasataxi Nagarpalika,JHAPA,Shivasataxi,Nagarpalika,1,4,42,11105,524 1 04 3 002,NP0104302,nu_of_sex_r,85.19,Sex_Ratio,,Number_of_Pop,
,Kankai Nagarpalika,JHAPA,Kankai,Nagarpalika,1,4,40,11104,524 1 04 3 003,NP0104303,nu_of_sex_r,85.79,Sex_Ratio,,Number_of_Pop,
,Arjundhara Nagarpalika,JHAPA,Arjundhara,Nagarpalika,1,4,28,11103,524 1 04 3 004,NP0104304,nu_of_sex_r,89.44,Sex_Ratio,,Number_of_Pop,
,Mechinagar Nagarpalika,JHAPA,Mechinagar,Nagarpalika,1,4,41,11101,524 1 04 3 005,NP0104305,nu_of_sex_r,90.22,Sex_Ratio,,Number_of_Pop,
,Gauradhaha Nagarpalika,JHAPA,Gauradhaha,Nagarpalika,1,4,34,11108,524 1 04 3 006,NP0104306,nu_of_sex_r,88.75,Sex_Ratio,,Number_of_Pop,
,Birtamod Nagarpalika,JHAPA,Birtamod,Nagarpalika,1,4,31,11112,524 1 04 3 007,NP0104307,nu_of_sex_r,94.35,Sex_Ratio,,Number_of_Pop,
,Bhadrapur Nagarpalika,JHAPA,Bhadrapur,Nagarpalika,1,4,30,11114,524 1 04 3 008,NP0104308,nu_of_sex_r,89.54,Sex_Ratio,,Number_of_Pop,
,Kamal Gaunpalika,JHAPA,Kamal,Gaunpalika,1,4,39,11106,524 1 04 4 001,NP0104401,nu_of_sex_r,84.32,Sex_Ratio,,Number_of_Pop,
,Buddhashanti Gaunpalika,JHAPA,Buddhashanti,Gaunpalika,1,4,32,11102,524 1 04 4 002,NP0104402,nu_of_sex_r,89.51,Sex_Ratio,,Number_of_Pop,
,Gauriganj Gaunpalika,JHAPA,Gauriganj,Gaunpalika,1,4,35,11109,524 1 04 4 003,NP0104403,nu_of_sex_r,93.23,Sex_Ratio,,Number_of_Pop,
,Jhapa Gaunpalika,JHAPA,Jhapa,Gaunpalika,1,4,37,11110,524 1 04 4 004,NP0104404,nu_of_sex_r,93.32,Sex_Ratio,,Number_of_Pop,
,Barhadashi Gaunpalika,JHAPA,Barhadashi,Gaunpalika,1,4,29,11111,524 1 04 4 005,NP0104405,nu_of_sex_r,87.56,Sex_Ratio,,Number_of_Pop,
,Haldibari Gaunpalika,JHAPA,Haldibari,Gaunpalika,1,4,36,11113,524 1 04 4 006,NP0104406,nu_of_sex_r,85.31,Sex_Ratio,,Number_of_Pop,
,Kachankawal Gaunpalika,JHAPA,Kachankawal,Gaunpalika,1,4,38,11115,524 1 04 4 007,NP0104407,nu_of_sex_r,89.8,Sex_Ratio,,Number_of_Pop,
,Biratnagar Mahanagarpalika,MORANG,Biratnagar,Mahanagarpalika,1,5,44,11214,524 1 05 1 001,NP0105101,nu_of_sex_r,102.83,Sex_Ratio,,Number_of_Pop,
,Letang Nagarpalika,MORANG,Letang,Nagarpalika,1,5,52,11202,524 1 05 3 001,NP0105301,nu_of_sex_r,81.06,Sex_Ratio,,Number_of_Pop,
,Sundarharaicha Nagarpalika,MORANG,Sundarharaicha,Nagarpalika,1,5,57,11204,524 1 05 3 002,NP0105302,nu_of_sex_r,88.02,Sex_Ratio,,Number_of_Pop,
