Prog. Code,Component Code,1st Tier Partner Code,2nd Tier Partner Code,2nd Tier Partner,Province ID,District ID,Palika ID,Project Status,Budget,Kathmandu Activity,Delivery in Lockdown,COVID Priority 3_12 Months,COVID Recovery Priority,Providing TA to Local Government,Providing TA to Provincial Government
204984,204984-105,14405,0,Rural/Municipalities,6,60,524 6 60 4 003,Ongoing,116367,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,60,524 6 60 4 004,Ongoing,115126,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,61,524 6 61 3 004,Ongoing,101662,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,61,524 6 61 4 004,Ongoing,104243,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,62,524 6 62 3 002,Ongoing,109389,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,62,524 6 62 4 002,Ongoing,103583,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,62,524 6 62 4 004,Ongoing,124978,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,63,524 6 63 3 001,Ongoing,104697,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,63,524 6 63 4 001,Ongoing,98332,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,63,524 6 63 4 002,Ongoing,98941,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,63,524 6 63 4 003,Ongoing,109472,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,64,524 6 64 3 002,Ongoing,106711,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,64,524 6 64 4 002,Ongoing,103804,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,65,524 6 65 3 001,Ongoing,123280,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,65,524 6 65 4 003,Ongoing,137997,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,66,524 6 66 4 002,Ongoing,113477,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,66,524 6 66 4 003,Ongoing,94897,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,6,66,524 6 66 4 004,Ongoing,102024,NA,Partial High,Partial Low,Partial Low,Yes,No
204984,204984-105,14405,0,Rural/Municipalities,7,69,524 7 69 3 003,Ongoing,79801,NA,Partial High,Partial Low,Partial Low,Yes,No
300607,300607-101,42896,200259,Winrock International,7,71,524 7 71 2 001,Ongoing,125000,Influence,Partial Low,Yes,Partial Low,Yes,Yes
300607,300607-101,42896,200259,Winrock International,7,71,524 7 71 3 003,Ongoing,125000,Influence,Partial Low,Yes,Partial Low,Yes,Yes
300607,300607-101,42896,200259,Winrock International,7,71,524 7 71 3 005,Ongoing,125000,Influence,Partial Low,Yes,Partial Low,Yes,Yes
204984,204984-105,14405,0,Rural/Municipalities,7,71,524 7 71 3 005,Ongoing,48079,NA,Partial High,Partial Low,Partial Low,Yes,No
300607,300607-101,42896,200259,Winrock International,7,71,524 7 71 4 004,Ongoing,125000,Influence,Partial Low,Yes,Partial Low,Yes,Yes
204984,204984-105,39473,200259,Winrock International,2,17,524 7 71 4 006,Complete,0,Intervention,NA - Complete,NA - Complete,NA - Complete,NA - Complete,NA - Complete
300607,300607-101,42896,200259,Winrock International,7,72,524 7 72 3 002,Ongoing,125000,Influence,Partial Low,Yes,Partial Low,Yes,Yes
300607,300607-101,42896,200259,Winrock International,7,72,524 7 72 3 006,Ongoing,125000,Influence,Partial Low,Yes,Partial Low,Yes,Yes
