,PROVINCE,FID__Adm1_,OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,11_sum,wp_sum,hrsl_sum,FID_dry_de,OBJECTID_1,PALIKA_1,DISTRICT_1,GAPA_NAP_1,GN_TYPE_1,PROVINCE_1,Shape_Leng,Shape_Area,uncov_id,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_5,f_60,f_65,f_70,f_75,f_80,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_5,m_60,m_65,m_70,m_75,m_80,male_total,female_total,male_highrisk,female_highrisk,total,all_highrisk,all_risk_pct,male_risk_pct,female_risk_pct
0,1,2,1,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,4492159.90215559,4905943.05136428,5083153.71333557,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,100883511.179,55646086785.5,dry_12hr,31356.1494996773,39361.6312692449,40182.7723435434,35068.8964069042,30418.3795505517,27049.8879974667,24244.367577158,20068.2201045855,16757.9156692235,12530.8422610923,27185.9648742822,9983.73171561898,8769.73835035686,7074.14184182343,5575.56353667503,3667.35234111113,33116.3384222726,38516.6573369528,43806.6707562965,39073.6488522019,32652.1479706581,28179.5445817817,25047.1147600302,20364.1172414896,16570.9741815255,12548.5291018694,26957.9070553745,9721.94564327267,8385.20456955732,6412.62353595571,5104.53303829994,3357.53224538203,349815.48929292,307939.405839638,32981.8390324677,35070.5277855854,657754.895132558,68052.3668180531,0.103461589296631,0.094283529580504,0.113887755579579
1,2,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,5375311.81997046,5870444.1176249,5870964.33565798,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,100883511.179,55646086785.5,dry_12hr,23218.6218296173,21825.7963503455,23525.3468520106,23229.4625037827,20860.945703797,17562.1199472398,15163.186827595,12508.7544410869,9912.48673389829,8653.11655797775,26153.1473192293,6765.60930019658,5456.45542663615,3932.16560551745,2267.32384264504,1491.34259364384,24704.3570767255,24715.2831396973,26166.8161111209,25381.9674202472,21790.5080174187,19742.3147973882,16623.3985307995,13647.2724253708,10538.1359436737,8870.85106776527,26370.6387087915,7290.22892050457,5774.60248076241,4278.60506713617,2367.32201410722,1557.11795398095,239819.41967549,199307.260005602,21267.8764364913,19912.8967686391,439126.679681092,41180.7732051304,0.093778800311193,0.088682878414391,0.099910543991621
2,3,6,229,Dudhouli Nagarpalika,SINDHULI,Dudhouli,Nagarpalika,5431960.48793367,5932310.82449287,6502930.48042134,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,100883511.179,55646086785.5,dry_12hr,30481.8895273294,36208.423901947,39410.5376177384,36523.2652258539,30417.3692724791,26159.5935202216,23611.4381741861,19655.8501050648,16374.0463007033,13064.9943193638,30042.2255882164,9307.50410025428,7245.78469524029,5253.60067641792,3914.94891523267,2575.07545554855,32122.7823727893,37024.5417283957,39571.6220918429,35775.2571511699,30655.3407924028,26222.7422582687,24064.5188781682,20376.8325610034,17293.681369668,13790.8573701878,29842.2622507175,10425.9434981142,7852.62659398475,5816.90449957832,4239.13311501884,2788.31108540839,337863.357616719,299764.657868468,31122.9187921045,28296.9138426937,637628.015485187,59419.8326347982,0.093188867477199,0.092116881249405,0.094397098189974
3,4,5,402,Aarughat Gaunpalika,GORKHA,Aarughat,Gaunpalika,2375262.00513395,2594052.83441908,2192307.41512153,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,100883511.179,55646086785.5,dry_12hr,9872.79040664284,9560.86676453528,10131.5415827979,8672.01705105634,7250.72662150186,6292.49712021214,5239.49909891675,4301.21930086652,3391.83248005976,2774.26862013513,11224.4219369491,3137.72757443405,2031.9074215435,1386.71893873209,716.089668020092,471.011238293874,10132.0162825634,9342.64819934815,11033.2793216575,10305.5927707828,8173.07418035729,7158.64542527205,5675.15617029373,4769.20900970649,3507.15442694522,3067.88534222282,11125.2297058575,2712.43111235724,1762.13661104828,1162.21242080179,673.606521220624,443.068077278824,91043.3455777137,76582.3454180544,6753.45474270675,7743.45484102359,167625.690995768,14496.9095837303,0.086483816994952,0.074178455326447,0.10111279301715
4,5,4,481,Chandrakot Gaunpalika,GULMI,Chandrakot,Gaunpalika,4454433.79883982,4864741.9098387,4464953.02403275,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,100883511.179,55646086785.5,dry_12hr,15969.064228921,17332.4031657113,18446.8516644662,15852.0411800478,13123.8823864638,11321.4788647709,9503.88876490318,7802.45335288457,6265.52633717052,5373.84867515445,15842.4390342806,4579.1755578709,3546.76243746999,2530.34025261541,1598.9694859287,1051.72944745034,16433.6516276936,15929.7238915229,16150.0650325423,14231.2925309779,12340.5288832569,10739.3404900438,9117.32599362938,7588.75267987332,6127.81501539955,5165.06816388789,15947.6775892556,4212.73974637121,3392.8625522742,2407.33766787633,1576.84202402243,1037.17576610286,142398.19965473,134171.790607189,12626.957756647,13306.9771813353,276569.990261919,25933.9349379824,0.093769880504469,0.088673577245101,0.099178650900575
5,6,3,562,Aathbiskot Nagarpalika,RUKUM WEST,Aathbiskot,Nagarpalika,1556848.70139016,1700253.60522526,1394027.6328764,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,100883511.179,55646086785.5,dry_12hr,20032.1416520439,22301.7698365828,23342.5523547564,20779.8828728362,16969.9283437173,14516.7424800757,12740.3845309778,10366.6862719742,8453.71967995866,7190.22345524566,20205.4221360907,5686.06641340683,4357.34109922788,3146.10072951021,1944.78757541026,1279.19290438552,20737.2352864813,19290.5615081093,19422.56454548,17268.4095280347,14198.8851108608,12503.9979534799,11025.7927269715,9373.50429192504,7780.27803398655,6663.3757976003,20369.0706184716,5542.00757129474,4403.86585376954,3267.11099645244,2054.38933224416,1351.28490849057,175252.334063652,173280.800684156,16618.6586622514,16413.4887219407,348533.134747808,33032.1473841922,0.094774769142376,0.09482703183979,0.094721911816751
6,7,7,668,Badimalika Nagarpalika,BAJURA,Badimalika,Nagarpalika,2525186.64219194,2757787.37403286,2985958.32949828,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,100883511.179,55646086785.5,dry_12hr,31377.3906799593,37419.2514125748,41099.48057511,38737.9053580027,32058.8306216318,29349.9500007917,26108.466814623,22394.0110945466,19516.6354821726,16750.4361705631,27749.649172619,13821.7705532313,10874.4971517632,9503.24141540516,6762.4480203853,4448.03093709558,31893.3228870197,37675.0317956751,41698.912355828,46689.344951735,33788.6611540635,28638.6311099378,26195.0795705285,21984.0603177578,19466.7814469229,15941.1857389939,27914.4435807053,12113.7494494867,10234.7948379662,8516.86083531972,6288.88864032816,4136.54808176922,373176.296754038,336594.604780516,41290.84184487,45409.9880778806,709770.901534554,86700.8299227506,0.122153260630014,0.110647011088395,0.134910029551695
