District ,Name of municipalities,HLCIT_CODE,cbs code,Total,Without any toilet facility,Flush Toilet ,Ordinary Toilet ,Toilet Facility not stated
Dolakha,Shailung Gaunpalika,524 3 22 4 005,30108,4958,2118,1479,1348,13
Dolakha,Tamakoshi Gaunpalika,524 3 22 4 007,30106,4345,1254,2267,819,5
Dolpa,Chharka Tangsong Gaunpalika,524 6 62 4 006,60108,282,278,3,0,1
Dolpa,Dolpo Buddha Gaunpalika,524 6 62 4 003,60101,468,447,8,9,4
Dolpa,Jagadulla Gaunpalika,524 6 62 4 002,60103,433,90,140,203,0
Dolpa,Kaike Gaunpalika,524 6 62 4 005,60107,780,740,22,17,1
Dolpa,Mudkechula Gaunpalika,524 6 62 4 004,60104,926,645,114,166,1
Dolpa,Shey Phoksundo Gaunpalika,524 6 62 4 001,60102,730,416,8,301,5
Dolpa,Thulibheri Municipality,524 6 62 3 002,60106,1903,442,1162,297,2
Dolpa,Tripurasundari Municipality,524 6 62 3 001,30210,1944,619,1036,282,7
Doti,Aadarsha Gaunpalika,524 7 70 4 001,70603,4747,3266,765,688,28
Doti,Badi Kedar Gaunpalika,524 7 70 4 006,70608,2719,1792,663,259,5
Doti,Bogatan Gaunpalika,524 7 70 4 007,70607,3130,2152,542,423,13
Doti,Dipayal Silgadhi Municipality,524 7 70 3 002,70605,7447,3793,2429,1199,26
Doti,Jorayal Gaunpalika,524 7 70 4 004,70609,3808,1674,1391,735,8
Doti,K.I. Singh Gaunpalika,524 7 70 4 005,70606,4259,3235,483,525,16
Doti,Purbichouki Gaunpalika,524 7 70 4 003,70601,4836,3413,767,621,35
Doti,Sayal Gaunpalika,524 7 70 4 002,70602,3772,1845,1203,701,23
Doti,Shikhar Municipality,524 7 70 3 001,70604,6665,2943,2288,1424,10
Gorkha,Aarughat Gaunpalika,524 4 36 4 006,40105,5614,2314,1543,1742,15
Gorkha,Ajirkot Gaunpalika,524 4 36 4 002,40102,3618,703,1625,1276,14
Gorkha,Bhimsen Gaunpalika,524 4 36 4 007,40106,5438,993,2778,1653,14
Gorkha,Chumanubri Gaunpalika,524 4 36 4 001,40101,1949,1284,211,436,18
Gorkha,Dharche Gaunpalika,524 4 36 4 004,40104,3128,1653,515,945,15
Gorkha,Gandaki Gaunpalika,524 4 36 4 009,40111,5253,1264,2072,1897,20
Gorkha,Gorkha Municipality,524 4 36 3 002,40109,13127,1284,8712,3073,58
Gorkha,Palungtar Municipality,524 4 36 3 001,40108,9924,2482,3511,3920,11
Gorkha,Shahid Lakhan Gaunpalika,524 4 36 4 008,40110,6682,1555,2830,2251,46
Gorkha,Siranchowk Gaunpalika,524 4 36 4 005,40107,5896,1603,2390,1881,22
Gorkha,Sulikot Gaunpalika,524 4 36 4 003,40103,5829,2781,1195,1834,19
Gulmi,Chandrakot Gaunpalika,524 5 51 4 006,50403,5121,1108,2517,1488,8
Gulmi,Chhatrakot Gaunpalika,524 5 51 4 007,50411,5315,1039,2798,1468,10
Gulmi,Dhurkot Gaunpalika,524 5 51 4 003,50408,5307,1080,2672,1549,6
Gulmi,Gulmi Durbar Gaunpaika,524 5 51 4 005,50410,5266,975,2450,1837,4
Gulmi,Isma Gaunpalika,524 5 51 4 004,50405,4716,1021,2394,1297,4
Gulmi,Kali Gandaki Gaunpalika,524 5 51 4 010,40911,4098,886,1910,1295,7
Gulmi,Madane Gaunpalika,524 5 51 4 001,50407,4857,1320,2642,877,18
Gulmi,Malika Gaunpalika,524 5 51 4 002,40404,4550,959,2555,1013,23
Gulmi,Musikot Municipality,524 5 51 3 001,50404,7075,1289,3177,2587,22
Gulmi,Resunga Municipality,524 5 51 3 002,50409,8353,637,5495,2194,27
Gulmi,Ruru Gaunpalika,524 5 51 4 008,50412,4703,727,2667,1297,12
Gulmi,Satyawoti Gaunpalika,524 5 51 4 009,50402,5526,872,3331,1312,11
Humla,Adanchuli Gaunpalika,524 6 66 4 007,60306,1121,578,402,141,0
Humla,Chankheli Gaunpalika,524 6 66 4 005,60301,963,389,82,492,0
Humla,Kharpunath Gaunpalika,524 6 66 4 003,60302,1132,569,351,211,1
Humla,Namkha Gaunpalika,524 6 66 4 001,60304,835,465,84,286,0
Humla,Sarkegad Gaunpalika,524 6 66 4 004,60305,1794,937,437,419,1
Humla,Simkot Gaunpalika,524 6 66 4 002,60303,2566,1222,942,394,8
Humla,Tanjakot Gaunpalika,524 6 66 4 006,60307,1026,539,286,201,0
Ilam,Chulachuli Gaunpalika,524 1 03 4 004,11007,4649,1398,819,2413,19
Ilam,Deumai Municipality,524 1 03 3 001,11004,7123,376,2602,4113,32
Ilam,Fakfokathum Gaunpalika,524 1 03 4 001,11005,4634,167,1031,3414,22
Ilam,Illam Municipality,524 1 03 3 002,11003,11383,673,5736,4880,94
Ilam,Mai Jogmai Gaunpalika,524 1 03 4 003,11001,4677,139,1525,2997,16
Ilam,Mai Municipality,524 1 03 3 004,11008,7077,1874,1106,4065,32
Ilam,Mangsebung Gaunpalika,524 1 03 4 005,11006,3729,579,608,2501,41
Ilam,Rong Gaunpalika,524 1 03 4 006,11010,4351,400,1250,2676,25
Ilam,Sandakpur Gaunpalika,524 1 03 4 002,11002,3643,95,1097,2442,9
Ilam,Suryodaya Municipality,524 1 03 3 003,11009,13211,428,6031,6699,53
Jajarkot,Barekot Gaunpalika,524 6 60 4 003,60701,3093,2063,603,416,11
Jajarkot,Bheri Malika Municipality,524 6 60 3 002,60706,6590,3884,634,2053,19
Jajarkot,Chhedagad Municipality,524 6 60 3 001,60704,6144,2654,1267,2200,23
Jajarkot,Junichande Gaunpalika,524 6 60 4 001,60703,3774,1929,1104,716,25
Jajarkot,Kuse Gaunpalika,524 6 60 4 002,60702,3590,2368,254,947,21
Jajarkot,Shivalaya Gaunpalika,524 6 60 4 004,60705,2556,1397,768,385,6
Jajarkot,Tribeni Nalagad Municipality,524 6 60 3 003,60707,4721,2814,685,1210,12
Jhapa,Arjundhara Municipality,524 1 04 3 004,11103,13623,2052,6594,4948,29
Jhapa,Barhadashi Gaunpalika,524 1 04 4 005,11111,7398,3636,1996,1741,25
Jhapa,Bhadrapur Municipality,524 1 04 3 008,11114,15270,3375,7930,3886,79
Jhapa,Birtamod Municipality,524 1 04 3 007,11112,19118,2716,12106,4219,77
Jhapa,Buddhashanti Gaunpalika,524 1 04 4 002,11102,9498,998,4661,3689,150
Jhapa,Damak Municipality,524 1 04 3 001,11107,18104,1721,10470,5794,119
Jhapa,Gauradaha Municipality,524 1 04 3 006,11108,12070,3434,4303,4300,33
Jhapa,Gauriganj Gaunpalika,524 1 04 4 003,11109,7140,4905,1261,954,20
Jhapa,Haldibari Gaunpalika,524 1 04 4 006,11113,6415,1818,2181,2402,14
Jhapa,Jhapa Gaunpalika,524 1 04 4 004,11110,7098,4650,1330,1093,25
Jhapa,Kachanakawal Gaunpalika,524 1 04 4 007,11115,8742,5913,1533,1281,15
Jhapa,Kamal Gaunpalika,524 1 04 4 001,11106,10256,1752,4484,3992,28
Jhapa,Kankai Municipality,524 1 04 3 003,11104,9426,1863,4746,2798,19
Jhapa,Mechinagar Municipality,524 1 04 3 005,11101,25531,5105,12458,7886,82
Jhapa,Shivasatakshi Municipality,524 1 04 3 002,11105,14695,3641,5280,5710,64
Jumla,Chandannath Municipality,524 6 63 3 001,60404,3996,742,1363,1852,39
Jumla,Guthichaur Gaunpalika,524 6 63 4 007,60405,1848,699,226,914,9
Jumla,Hima Gaunpalika,524 6 63 4 004,60408,1713,618,713,369,13
Jumla,Kanaka Sundari Gaun Palika,524 6 63 4 001,60402,2247,958,337,939,13
Jumla,Patarasi Gaunpalika,524 6 63 4 003,60401,2537,468,861,1186,22
Jumla,Sinja Gaunpalika,524 6 63 4 002,60403,1996,1044,608,334,10
Jumla,Tatopani Gaunpalika,524 6 63 4 006,60406,2704,1028,917,749,10
Jumla,Tila Gaunpalika,524 6 63 4 005,60407,2250,360,1432,449,9
Kailali,Bardagoriya Gaunpalika,524 7 71 4 005,70806,5703,3164,2099,417,23
Kailali,Bhajani Municipality,524 7 71 3 004,70811,8717,5292,1750,1628,47
Kailali,Chure Gaunpalika,524 7 71 4 001,70802,3362,1982,814,546,20
Kailali,Dhangadhi Sub-Metropolitian City,524 7 71 2 001,70813,29143,8457,14715,5821,150
Kailali,Gauriganga Municipality,524 7 71 3 002,70804,10072,6784,1964,1275,49
Kailali,Ghodaghodi Municipality,524 7 71 3 003,70805,13174,8172,2887,2038,77
Kailali,Godawari Municipality,524 7 71 3 001,30803,14915,6738,4913,3161,103
Kailali,Janaki Gaunpalika,524 7 71 4 006,51105,9051,5648,2168,1196,39
Kailali,Joshipur Gaunpalika,524 7 71 4 004,70809,6392,4094,1927,338,33
Kailali,Kailari Gaunpalika,524 7 71 4 002,70812,7802,5569,1619,561,53
Kailali,Lamki Chuha Municipality,524 7 71 3 006,70807,14757,8388,4354,1934,81
Kailali,Mohanyal Gaunpalika,524 7 71 4 003,70801,3969,2710,729,506,24
Kailali,Tikapur Municipality,524 7 71 3 005,70810,15356,5323,5768,4177,88
Kalikot,Kalika Gaunpalika,524 6 64 4 005,30304,2458,1086,284,1079,9
Kalikot,Khandachakra Municipality,524 6 64 3 002,60506,3612,1378,800,1404,30
Kalikot,Mahawai Gaunpalika,524 6 64 4 006,60508,1447,469,41,929,8
Kalikot,Naraharinath Gaunpalika,524 6 64 4 001,60505,3585,415,1765,1386,19
Kalikot,Pachal Jharana Gaunpalika,524 6 64 4 003,60502,2002,97,728,1153,24
Kalikot,Palata Gaunpalika,524 6 64 4 004,60501,2421,1875,132,403,11
Kalikot,Raskot Municipality,524 6 64 3 001,60503,2685,1698,224,748,15
Kalikot,Sanni Tribeni Gaunpalika,524 6 64 4 002,60504,2105,1422,360,319,4
Kalikot,Tilagupha Municipality,524 6 64 3 003,60507,2693,1487,302,887,17
Kanchanpur,Bedkot Municipality,524 7 72 3 003,70903,9219,5155,2764,1268,32
Kanchanpur,Beldandi Gaunpalika,524 7 72 3 006,70908,3760,2033,807,895,25
Kanchanpur,Belouri Municipality,524 7 72 4 001,70909,8657,3079,3196,2298,84
Kanchanpur,Bhimdatta Municipality,524 7 72 3 002,70904,20684,6697,12129,1640,218
Kanchanpur,Krishnapur Municipality,524 7 72 3 005,70901,10016,5641,2232,2098,45
Kanchanpur,Laljhadi Gaunpalika,524 7 72 4 002,70906,3640,2394,490,729,27
