District ,Name of municipalities,HLCIT_CODE,cbs code,Total,Tap/piped water,Tube well/hand pump,"Covered well,kuwa","Uncovered well, kuwa",spout water,river/streams,others,Not stated
Dhading,Rubi Valley Gaunpalika,524 3 30 4 001,30401,"2,134","1,646",0,2,18,443,7,5,13
Dhading,Siddhalek Gaunpalika,524 3 30 4 007,30408,"5,138","4,193",0,64,183,610,55,2,31
Dhading,Thakre Gaunpalika,524 3 30 4 011,30412,"6,927","6,059",1,102,278,432,37,4,14
Dhading,Tripurasundari Gaunpalika,524 3 30 4 004,60105,"5,355","4,247",1,75,185,755,71,2,19
Dhankuta,Chaubise Gaunpalika,524 1 07 4 004,10707,"4,542","3,516",2,128,684,76,87,38,11
Dhankuta,Chhathar Jorpati Gaunpalika,524 1 07 4 002,10703,"4,232","3,150",3,53,429,549,15,22,11
Dhankuta,Dhankuta Municipality,524 1 07 3 003,10704,"9,460","7,975",9,157,644,504,77,60,34
Dhankuta,Khalsa Chhintang Sahidbhumi Gaunpalika,524 1 07 4 001,10705,"3,876","2,980",3,79,681,86,42,2,3
Dhankuta,Mahalaxmi Municipality,524 1 07 3 001,10701,"5,482","4,801",5,61,279,279,37,9,11
Dhankuta,Pakhribas Municipality,524 1 07 3 002,10702,"4,977","4,127",2,129,380,317,8,5,9
Dhankuta,Sangurigadhi Gaunpalika,524 1 07 4 003,10706,"5,047","4,166",3,75,199,487,101,5,11
Dhanusa,Aurahi Gaunpalika,524 2 17 4 003,20404,"4,003",555,"3,234",8,11,1,0,149,45
Dhanusa,Bateshwor Gaunpalika,524 2 17 4 001,20304,"3,671",812,"1,350",163,"1,139",59,1,93,54
Dhanusa,Bideha Municipality,524 2 17 3 010,20313,"5,817",986,"4,536",4,22,10,1,53,205
Dhanusa,Chhireshwornath Municipality,524 2 17 3 003,20305,"7,775","1,267","5,708",15,647,39,1,4,94
Dhanusa,Dhanauji Gaunpalika,524 2 17 4 004,20316,"3,717",44,"3,367",7,5,0,1,190,103
Dhanusa,Dhanushadham Municipality,524 2 17 3 004,20302,"8,715",573,"5,455",206,"2,153",5,2,218,103
Dhanusa,Ganeshman Charnath Municipality,524 2 17 3 002,20301,"7,037",246,"3,622",451,"2,428",27,99,69,95
Dhanusa,Hansapur Municipality,524 2 17 3 007,20308,"6,912","1,091","5,643",7,6,3,0,67,95
Dhanusa,Janak Nandini Gaunpalika,524 2 17 4 006,20312,"4,461",903,"3,301",8,33,3,1,141,71
Dhanusa,Janakpur Sub-Metropolitian City,524 2 17 2 001,20315,"30,589","3,023","26,413",91,36,46,11,461,508
Dhanusa,Kamala Municipality,524 2 17 3 011,20311,"6,999","1,329","5,463",15,29,0,1,45,117
Dhanusa,Laxminiya Gaunpalika,524 2 17 4 002,20306,"4,995","1,024","3,803",10,5,21,0,100,32
Dhanusa,Mithila Bihari Municipality,524 2 17 3 005,20307,"6,066",504,"5,345",4,11,2,0,64,136
Dhanusa,Mithila Municipality,524 2 17 3 001,20303,"8,229","3,765",284,231,"3,702",41,94,33,79
Dhanusa,Mukhiyapatti Musaharmiya Gaunpalika,524 2 17 4 005,20318,"4,130",318,"3,690",2,11,2,0,70,37
Dhanusa,Nagarain Municipality,524 2 17 3 009,20317,"6,365",755,"5,368",7,27,3,0,152,53
Dhanusa,Sabaila Municipality,524 2 17 3 006,20309,"10,073",571,"9,201",9,15,0,2,23,252
Dhanusa,Shahidnagar Municipality,524 2 17 3 008,20310,"8,671",173,"8,088",8,132,2,1,81,186
Dolakha,Baitedhar Gaunpalika,524 3 22 4 004,20304,"5,079","3,719",0,9,109,"1,155",67,13,7
Dolakha,Bhimeshwor Municipality,524 3 22 3 001,30109,"8,639","7,549",0,4,67,909,38,50,22
Dolakha,Bigu Gaunpalika,524 3 22 4 001,30102,"4,418","3,669",0,25,186,441,73,8,16
Dolakha,Gaurishankar Gaunpalika,524 3 22 4 002,30101,"4,067","3,539",0,20,127,275,79,1,26
Dolakha,Jiri Municipality,524 3 22 3 002,30105,"3,854","2,740",0,35,119,914,23,16,7
Dolakha,Kalinchowk Gaunpalika,524 3 22 4 003,30103,"5,457","4,443",0,20,110,752,116,2,14
Dolakha,Melung Gaunpalika,524 3 22 4 006,30107,"4,841","3,387",0,34,421,917,49,14,19
Dolakha,Shailung Gaunpalika,524 3 22 4 005,30108,"4,958","3,940",0,8,236,675,81,3,15
Dolakha,Tamakoshi Gaunpalika,524 3 22 4 007,30106,"4,345","2,561",0,39,120,"1,602",11,2,10
Dolpa,Chharka Tangsong Gaunpalika,524 6 62 4 006,60108,282,108,0,1,0,16,156,0,1
Dolpa,Dolpo Buddha Gaunpalika,524 6 62 4 003,60101,468,141,0,0,18,171,134,0,4
Dolpa,Jagadulla Gaunpalika,524 6 62 4 002,60103,433,429,0,0,0,4,0,0,0
Dolpa,Kaike Gaunpalika,524 6 62 4 005,60107,780,624,0,1,73,52,29,0,1
Dolpa,Mudkechula Gaunpalika,524 6 62 4 004,60104,926,506,0,0,0,282,136,1,1
Dolpa,Shey Phoksundo Gaunpalika,524 6 62 4 001,60102,730,224,0,4,37,61,400,0,4
Dolpa,Thulibheri Municipality,524 6 62 3 002,60106,"1,903","1,623",0,0,1,234,42,1,2
Dolpa,Tripurasundari Municipality,524 6 62 3 001,30210,"1,944","1,186",0,0,1,589,161,0,7
Doti,Aadarsha Gaunpalika,524 7 70 4 001,70603,"4,747","2,918",1,240,342,905,299,14,28
Doti,Badi Kedar Gaunpalika,524 7 70 4 006,70608,"2,719","1,877",2,44,181,360,251,0,4
Doti,Bogatan Gaunpalika,524 7 70 4 007,70607,"3,130","1,821",2,283,386,479,144,2,13
Doti,Dipayal Silgadhi Municipality,524 7 70 3 002,70605,"7,447","4,427",11,84,382,"1,642",800,73,28
Doti,Jorayal Gaunpalika,524 7 70 4 004,70609,"3,808","2,563",4,51,318,395,367,102,8
Doti,K.I. Singh Gaunpalika,524 7 70 4 005,70606,"4,259","2,360",0,201,448,960,221,53,16
Doti,Purbichouki Gaunpalika,524 7 70 4 003,70601,"4,836","2,960",3,75,166,"1,329",263,4,36
Doti,Sayal Gaunpalika,524 7 70 4 002,70602,"3,772","2,652",2,24,37,936,96,2,23
Doti,Shikhar Municipality,524 7 70 3 001,70604,"6,665","4,690",6,39,238,"1,239",441,0,12
Gorkha,Aarughat Gaunpalika,524 4 36 4 006,40105,"5,614","4,216",0,44,326,993,22,0,13
Gorkha,Ajirkot Gaunpalika,524 4 36 4 002,40102,"3,618","3,312",0,4,19,250,18,0,15
Gorkha,Bhimsen Gaunpalika,524 4 36 4 007,40106,"5,438","1,835",0,181,303,"3,062",43,0,14
Gorkha,Chumanubri Gaunpalika,524 4 36 4 001,40101,"1,949","1,525",0,1,82,87,234,2,18
Gorkha,Dharche Gaunpalika,524 4 36 4 004,40104,"3,128","2,830",0,0,5,163,114,0,16
Gorkha,Gandaki Gaunpalika,524 4 36 4 009,40111,"5,253","3,999",1,4,81,"1,076",73,0,19
Gorkha,Gorkha Municipality,524 4 36 3 002,40109,"13,127","5,614",10,128,518,"6,772",22,7,56
Gorkha,Palungtar Municipality,524 4 36 3 001,40108,"9,924","5,780",9,947,"1,331","1,707",135,4,11
Gorkha,Shahid Lakhan Gaunpalika,524 4 36 4 008,40110,"6,682","4,197",0,68,199,"2,112",42,14,50
Gorkha,Siranchowk Gaunpalika,524 4 36 4 005,40107,"5,896","4,794",0,37,129,898,16,1,21
Gorkha,Sulikot Gaunpalika,524 4 36 4 003,40103,"5,829","3,641",0,133,422,"1,520",88,5,20
Gulmi,Chandrakot Gaunpalika,524 5 51 4 006,50403,"5,121","4,946",1,20,43,66,33,5,7
Gulmi,Chhatrakot Gaunpalika,524 5 51 4 007,50411,"5,315","4,344",2,172,246,383,63,95,10
