,index,OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE,11_sum,wp_sum,hrsl_sum,uncov_id,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_5,f_60,f_65,f_70,f_75,f_80,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_5,m_60,m_65,m_70,m_75,m_80,male_total,female_total,male_highrisk,female_highrisk,total,all_highrisk,all_risk_pct,male_risk_pct,female_risk_pct
0,0,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,5375311.81997046,5870444.1176249,5870964.33565798,dry_4hr,24014.5057405795,22664.2577318929,24362.484577148,23996.4717030502,21523.6363130682,18136.5960382593,15689.7515393085,12949.3461490839,10269.4552472291,8955.41114432318,27020.553220188,7000.33851766138,5648.66454529815,4077.81109969725,2364.69920115365,1555.39167959115,25547.6769358821,25598.6368851007,27041.9923334196,26189.9991777579,22476.5637964671,20361.5892126595,17176.1541849646,14108.4100764173,10909.5911636888,9172.60611978325,27231.4060261166,7537.69038519752,5972.4425613645,4434.91291695344,2466.76554336183,1622.52743474103,247848.964753876,206214.868706953,22034.3388416183,20646.9050434016,454063.833460829,42681.2438850199,0.09399833402213,0.088902283144492,0.100123260620661
1,1,1,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,4492159.90215559,4905943.05136428,5083153.71333557,dry_4hr,49911.4342879017,60594.0755717307,61600.739776548,54426.3462292397,46711.1497760744,41605.7657642237,37499.1753298873,30776.2375483632,25734.6640564181,19410.5947794346,44433.2714502655,15448.8628208014,13398.6457944747,10880.0867116786,8603.91143259246,5659.26201833643,52495.8046211681,59206.0753739956,66063.12871013,59289.4855673562,49792.8439920637,43231.6541185109,38857.9804534178,31804.1796506706,26000.7164831606,19793.7723219284,44028.1339123205,15472.1638380597,13085.8269716034,10072.485474122,8064.69501451496,5304.59364866495,542563.540151687,476782.789060069,51999.764946965,53990.7687778835,1019346.32921176,105990.533724848,0.103978923244673,0.095840875950542,0.11323976036199
2,2,562,Aathbiskot Nagarpalika,RUKUM WESt,Aathbiskot,Nagarpalika,6,1556848.70139016,1700253.60522526,1394027.6328764,dry_4hr,32759.463873436,37892.2969889039,40551.9305463937,36172.1155910757,29681.1413382774,25076.6061088745,21891.7755351943,17649.2262153274,14301.8774454354,12163.4812052697,32202.2443687467,9607.49416730923,7401.37266413828,5366.20349444591,3418.70925220959,2248.67158141782,34387.3183922692,34627.3596639667,35775.9795278663,31329.944807151,25746.6789306413,22504.9711889213,19626.5222753989,16428.1071553445,13421.3095826557,11405.7825288437,32693.5347496736,9283.0591434054,7495.29017692856,5445.5108286385,3557.31825937332,2339.84395587004,306068.531166948,295625.146503019,28121.0223642158,28042.4511595208,601693.677669968,56163.4735237367,0.093342302916041,0.091878189034981,0.094858138731559
3,3,481,Chandrakot Gaunpalika,GULMI,Chandrakot,Gaunpalika,5,4454433.79883982,4864741.9098387,4464953.02403275,dry_4hr,25050.512350856,27687.1739728166,29546.0583917576,25738.2485149499,21267.4149754829,18150.7355715281,15183.3047520813,12204.6325085573,9635.77608914674,8269.04235480701,25026.9860949993,7028.2850550022,5392.56696210756,3832.74215936095,2335.63865178745,1536.27694664654,26099.3160276627,25914.6795648993,27330.1781611461,24270.046318027,20649.0589073721,17914.2304390301,14930.0901937479,12251.955856069,9597.08963056433,8031.80745098509,25256.1062786123,6562.06953760778,5230.90763462676,3695.41649819681,2312.13919131088,1520.82118391365,231565.912873772,212834.883001031,19321.3540456559,20125.5097749047,444400.795874803,39446.8638205606,0.088764161060759,0.083437816066599,0.09455926345874
4,4,402,Aarughat Gaunpalika,GORKHA,Aarughat,Gaunpalika,4,2375262.00513395,2594052.83441908,2192307.41512153,dry_4hr,16222.3837890888,15889.7174909283,16849.9630522673,14416.5865472978,11972.9681698755,10482.0969372378,8741.12143268462,7211.31186121004,5638.31933261295,4608.04281165849,18650.7332181685,5085.41468380693,3282.5560899713,2175.98198156986,1129.66828744294,743.04445787182,16716.5038028047,15583.4806934212,18452.3832560114,17253.2105789863,13595.749956376,11979.8742034894,9522.47815314749,7987.34305455667,5958.63342066963,5131.34560760497,18376.2945623098,4496.77873662798,2909.04997490325,1891.44767833756,1087.95155037758,715.605600669552,151658.130830293,126877.526354604,11100.8335409159,12416.6655006629,278535.657184897,23517.4990415788,0.084432633434675,0.073196428573539,0.097863395176543
5,5,229,Dudhouli Nagarpalika,SINDHULI,Dudhouli,Nagarpalika,3,5431960.48793367,5932310.82449287,6502930.48042134,dry_4hr,41717.464875857,49134.7057141064,52905.5723537765,48718.0095595393,40520.7946853562,35180.4502531531,31793.0943503903,26560.2515494533,22076.4722675084,17632.910843948,41356.3461519181,12773.2274766185,9994.74685568436,7346.15893741844,5503.74048703716,3620.11035382415,44017.5776040594,50041.471931909,52276.504169492,46905.1082410895,40151.148571025,34727.8976337294,31963.5978207295,27274.7116442812,23070.6635621174,18361.4787154413,41209.8541693586,14045.8066884498,10647.7007202581,7972.01212478296,5776.43067689566,3799.47626283887,452241.440536458,405116.591839732,42241.4264732254,39237.9841105826,857358.03237619,81479.410583808,0.095035454858906,0.093404590307155,0.096856028365546
6,6,668,Badimalika Nagarpalika,BAJURA,Badimalika,Nagarpalika,7,2525186.64219194,2757787.37403286,2985958.32949828,dry_4hr,41938.0096579426,50508.6938079513,55543.8351890603,52034.8948111068,42907.9965382567,38704.7931067633,34496.4853990318,29690.3096010273,25766.6601404239,21880.061476357,37411.0757456951,17996.0575405901,14311.2392254483,12310.9498693399,8978.53834477904,5905.67446493273,43153.8259051051,50555.5316425385,54260.3304907634,56287.4771924197,42266.6663561585,35862.3406787131,32841.0802417513,27812.1791888996,24753.4413121651,20572.9967036628,37782.9115138479,15864.6908097318,13309.7583357535,11112.3622747061,8399.75854379451,5524.98335717286,480360.334547184,448447.265260764,54211.5533211588,59502.45944509,928807.599807947,113714.012766249,0.12243010585805,0.112856015416556,0.132685521920823
