,PROVINCE,FID__Adm1_,OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,11_sum,wp_sum,hrsl_sum,FID_dry_de,OBJECTID_1,PALIKA_1,DISTRICT_1,GAPA_NAP_1,GN_TYPE_1,PROVINCE_1,Shape_Leng,Shape_Area,uncov_id,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_5,f_60,f_65,f_70,f_75,f_80,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_5,m_60,m_65,m_70,m_75,m_80,male_total,female_total,male_highrisk,female_highrisk,total,all_highrisk,all_risk_pct,male_risk_pct,female_risk_pct
0,1,2,1,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,4492159.90215559,4905943.05136428,5083153.71333557,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,72571569.003,100242021022,dry_4hr,64035.4734791759,77329.7438242193,78853.58700556,69963.4214440188,59919.3176618875,53169.1326721304,48022.0989161911,39249.0673983031,32829.9025707405,24798.6652893689,57356.0982906464,19698.7085646864,17063.5433174823,13932.8910253383,11070.4733462306,7281.65435703076,67237.1014122048,75647.3936407752,84768.1631532285,76262.4722907119,64320.7292295508,55709.8232749906,50201.6431410405,40961.3875322842,33504.1022083619,25482.0889067883,56893.6236367967,19948.0244823082,16803.5747355465,12995.9896112113,10454.1107431999,6876.24383396485,698066.471832964,610538.305683834,67077.9434062307,69047.2706107685,1308604.7775168,136125.214016999,0.104023167541318,0.096091054523933,0.113092446400119
1,2,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,5375311.81997046,5870444.1176249,5870964.33565798,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,72571569.003,100242021022,dry_4hr,24534.427692726,23174.5908631315,24904.4450445941,24528.3429542892,22007.0606743472,18546.7431210729,16039.2579305781,13233.0980262798,10487.3900737978,9149.61104885041,27627.3412564686,7154.01551645034,5773.33513100666,4169.09035944889,2416.84033109894,1589.68774530652,26121.679785501,26169.1896502515,27650.2796144981,26782.2771235283,22990.3103317188,20833.4997296152,17569.5438644338,14427.0706112001,11148.2886440424,9371.18100633001,27843.2096278032,7704.08028838469,6104.1932070264,4535.45943219934,2521.55263072884,1658.56391666288,253430.379463924,210800.850076721,22523.8494750021,21102.9690833114,464231.229540645,43626.8185583135,0.093976483661993,0.08887588584544,0.10010855779581
2,3,6,229,Dudhouli Nagarpalika,SINDHULI,Dudhouli,Nagarpalika,5431960.48793367,5932310.82449287,6502930.48042134,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,72571569.003,100242021022,dry_4hr,73188.780582585,79886.5160819179,87436.10295084,82911.2761595663,70663.9791530086,61339.6833178141,53893.395068111,44907.5264842782,36559.8286142895,30087.0482637233,75415.1981269384,22325.918330221,17483.0098756103,12916.6220613052,8789.31888425033,5781.21450416604,77991.8038742864,83485.5699539812,86683.0840474261,78800.0361113388,67156.2615527621,60159.883823216,53571.5676658624,46308.0849077965,38231.4583740371,31385.8340380379,75618.9182808318,24307.2546043778,18457.2500721246,13738.1034950869,9148.31476947087,6017.34992597868,771060.775496616,690396.63787604,71668.2728670389,67296.0836555529,1461457.41337266,138964.356522592,0.09508614842351,0.092947631554568,0.097474524010698
3,4,5,402,Aarughat Gaunpalika,GORKHA,Aarughat,Gaunpalika,2375262.00513395,2594052.83441908,2192307.41512153,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,72571569.003,100242021022,dry_4hr,34328.2594678191,33910.9375897176,35405.6517023697,30521.3093322341,25499.7136715799,22155.1674698551,18501.4978182766,15178.5733626311,11850.5153035739,9765.3249580763,38322.5016733043,10421.5191584757,7468.69511467978,5539.30172518758,2900.53888667022,1907.84266784927,35489.0679076407,32283.4202943177,36119.5820523464,33366.7182805912,27004.8993301555,23414.5617090007,18812.7294839012,15515.1370633522,11855.1423884642,10089.6975424769,38194.1808389295,8774.89563986047,6173.53919799392,4276.85833169404,2523.2053519842,1659.65101045582,305553.286423165,269349.090434481,23408.1495319884,28237.8975528625,574902.376857646,51646.047084851,0.089834464360963,0.076609058295548,0.104837545607867
4,5,4,481,Chandrakot Gaunpalika,GULMI,Chandrakot,Gaunpalika,4454433.79883982,4864741.9098387,4464953.02403275,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,72571569.003,100242021022,dry_4hr,64748.6569530316,71421.2110510133,75146.4674220859,65919.785547416,53812.4111869312,45849.8088115503,38035.4053171599,30467.5141034166,24108.0003047546,20804.4709475845,65219.8336744197,17086.6095127682,12817.8205435253,8600.48897540474,5085.71789515867,3345.15415228298,67380.2370188099,67008.0639843021,71898.6276371407,62598.5195967604,52794.2898294179,45909.2642671833,38065.8674546275,30803.3844423607,24735.3004194695,20630.269916084,65526.5319882012,16415.3512766145,12817.7652479452,8496.6312691644,5150.17831518112,3387.55572168295,593617.838384945,537720.699445472,46267.4818305881,46935.7910791399,1131338.53783042,93203.272909728,0.082383185751336,0.077941528772902,0.087286561829483
5,6,3,562,Aathbiskot Nagarpalika,RUKUM WEST,Aathbiskot,Nagarpalika,1556848.70139016,1700253.60522526,1394027.6328764,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,72571569.003,100242021022,dry_4hr,45841.7452333422,53003.927600753,56897.6089345815,50657.8441189741,41513.1804882678,34901.3507545673,30395.60021914,24266.5938958359,19575.913287918,16639.5051721529,45418.8023097225,13200.4836593912,10123.910221163,7242.83182197183,4523.42054514772,2975.30046902573,48305.0363077999,48539.9806068393,51121.3151415298,44867.8663341665,36822.5130043635,31961.5257141671,27697.2828736026,22858.6079743118,18456.762177967,15663.2381117052,46126.2737889106,12739.129431071,10261.909243468,7332.56814029303,4702.20632784228,3092.8998277229,430549.11500576,411336.273498613,38128.7129703972,38065.9467166995,841885.388504373,76194.6596870966,0.090504789283085,0.0885583354872,0.092542158737741
6,7,7,668,Badimalika Nagarpalika,BAJURA,Badimalika,Nagarpalika,2525186.64219194,2757787.37403286,2985958.32949828,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,72571569.003,100242021022,dry_4hr,56949.8531544815,68747.9880422115,75702.3574091852,71010.4426103718,58622.6909307541,52730.8392242285,47175.813347517,40564.0235838904,35171.1881737777,29748.4018979481,51029.3385980656,24446.0633726998,19472.6146755105,16859.5430066921,12338.7351684377,8115.85923594052,58873.968839111,68952.9039505934,74220.3266221328,76441.6008436856,57710.031518696,49005.3874176586,44907.7763999621,38118.658007327,33861.6718648546,28071.3396144287,51538.0346278449,21692.7085268049,18136.7097521336,15195.5824200001,11573.5215099121,7612.54188121116,655912.763796357,611735.899277231,74211.0640900619,81232.8154592806,1267648.66307359,155443.879549342,0.122623786919356,0.113141667895797,0.132790662694894
