,index,OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE,11_sum,wp_sum,hrsl_sum,uncov_id,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_5,f_60,f_65,f_70,f_75,f_80,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_5,m_60,m_65,m_70,m_75,m_80,male_total,female_total,male_highrisk,female_highrisk,total,all_highrisk,all_risk_pct,male_risk_pct,female_risk_pct
0,0,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,5375311.81997046,5870444.1176249,5870964.33565798,dry_8hr,23233.666226835,21832.4983972977,23532.896620329,23237.3651571071,20868.7742496259,17568.5621239776,15168.5707303361,12512.7692669092,9915.22473668586,8655.87399637478,26163.7083706409,6767.89571534673,5458.42110255966,3933.51714383939,2267.85245951859,1491.69029382913,24713.8950497494,24723.7968000276,26177.0877425862,25392.2988188195,21799.1475119719,19750.1269701796,16629.6586395545,13652.1134661338,10541.4626940681,8873.60088861466,26381.2383371627,7292.81651440624,5776.88668299792,4280.30241624365,2367.94822415031,1557.52984679176,239909.910603458,199375.620364378,21275.4836845899,19919.3767150935,439285.530967835,41194.8603996834,0.093776957116987,0.088681137144666,0.099908788640702
1,1,1,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,4492159.90215559,4905943.05136428,5083153.71333557,dry_8hr,32690.6929175295,40941.5383233516,41802.3282166813,36537.0725845557,31648.9298375126,28154.6817723473,25241.7191515946,20874.2597357358,17432.0816102129,13048.2880480436,28408.6015442521,10396.6586389946,9118.25981491858,7361.92569154481,5804.46483534535,3817.91321950388,34529.4342115021,40059.7115003181,45475.1582677039,40519.4388949529,33893.4555879149,29268.1671061616,26050.9390302082,21210.1142019925,17269.8680241692,13092.5420528269,28174.5025039227,10150.8508644749,8738.64211957254,6687.61108940207,5330.50385075357,3506.1656824405,363957.104988317,320588.723024595,34413.7736066436,36499.2222003073,684545.828012912,70912.9958069509,0.103591305220274,0.094554476708865,0.113850611637101
2,2,562,Aathbiskot Nagarpalika,RUKUM WEST,Aathbiskot,Nagarpalika,6,1556848.70139016,1700253.60522526,1394027.6328764,dry_8hr,16149.2043604234,18461.3153098723,19660.2401921771,17608.3639195296,14477.3605764378,12258.5131253963,10710.6180630636,8709.50327672387,7060.29711299846,5998.75892372657,15870.2211047217,4731.77730589371,3657.13175620108,2668.72692821006,1704.44799984587,1121.10844203641,16834.0946537398,16710.0453581596,17091.9365160591,15049.1032857547,12377.4988227066,10872.0767137002,9500.12538396267,8047.3526762941,6620.15238513354,5623.29930512104,16099.3435511506,4633.62809328839,3723.53033907496,2754.79269406069,1791.66026853359,1178.47355095703,148907.113597697,144698.384036834,14082.0849459147,13883.1924321871,293605.497634531,27965.2773781018,0.095247798843712,0.094569591778942,0.095945732390854
3,3,481,Chandrakot Gaunpalika,GULMI,Chandrakot,Gaunpalika,5,4454433.79883982,4864741.9098387,4464953.02403275,dry_8hr,16367.5021179685,17810.5015021939,18954.8648052697,16306.7925832631,13497.5031836368,11634.0962707218,9768.76769402193,8003.54295334725,6414.19383865089,5503.25433954793,16227.8910996189,4686.76454538375,3627.30112897198,2586.67804983835,1630.02214201189,1072.15447294911,16863.2988524965,16392.0685487442,16659.669927188,14697.8036536301,12724.9111316062,11073.430324887,9390.67247766031,7806.25336008082,6281.27235761169,5292.27266752751,16341.4579441309,4318.66884312485,3478.18015447874,2466.88855317768,1609.80544749889,1058.85762403624,146455.51186788,137724.328609427,12932.4006223164,13602.9203391551,284179.840477307,26535.3209614715,0.093375099785062,0.088302587300251,0.098769189703089
4,4,402,Aarughat Gaunpalika,GORKHA,Aarughat,Gaunpalika,4,2375262.00513395,2594052.83441908,2192307.41512153,dry_8hr,10567.521656569,10249.1291656003,10886.8003650713,9306.57522523159,7776.93334899604,6756.96426163302,5627.4939180417,4627.49573159821,3644.59173205333,2979.63171526633,12058.3954002992,3365.84743974473,2164.92601704692,1461.10960918566,756.896235672419,497.851943610807,10861.3847025981,10040.2926067026,11901.7552702109,11130.2119653942,8811.95182730486,7724.85512220061,6125.62351944696,5153.08632404374,3793.49644297271,3310.53287459846,11936.2793075826,2926.15172279739,1888.80039783058,1239.26828116806,717.198034062851,471.740613640296,98032.6290125549,82160.6421090516,7243.15904949918,8246.63124526054,180193.271121606,15489.7902947597,0.085962090583872,0.073885186212558,0.100372039866909
5,5,229,Dudhouli Nagarpalika,SINDHULI,Dudhouli,Nagarpalika,3,5431960.48793367,5932310.82449287,6502930.48042134,dry_8hr,31353.9164034968,37294.0051497771,40560.0929499778,37553.6901214432,31265.1978286073,26909.6758182708,24300.4994175163,20244.7361331038,16869.3479992818,13456.2300599958,30945.2978109089,9595.5722580321,7476.97925567507,5429.94347069238,4054.35233130048,2666.7686885019,33071.4784596212,38114.7400064472,40650.2612687498,36716.548055173,31462.9713884341,26925.4552662826,24724.5016691098,20961.0017234037,17793.3084273852,14180.642177307,30743.6689964353,10730.0856169034,8087.58570862382,6000.57258526437,4375.80594386168,2878.2083232973,347416.835616299,308622.389293085,32072.2581779505,29223.6160042019,656039.224909384,61295.8741821525,0.093433245840779,0.092316361471246,0.094690524790311
6,6,668,Badimalika Nagarpalika,BAJURA,Badimalika,Nagarpalika,7,2525186.64219194,2757787.37403286,2985958.32949828,dry_8hr,24608.5838131258,29540.6431010163,32086.0776392914,29859.7939492527,24567.8731104675,22237.9435743489,19791.2025130458,17116.5269377082,14913.567728087,12696.2582131976,21729.3537734228,10418.7852261087,8309.12145747882,6979.81438846203,5151.58791141752,3388.48040644465,25155.558459314,29107.5641024586,29917.8899879487,30241.221630924,23013.7524645434,19606.4229567902,18085.114064884,15410.3024282579,13918.2254244288,11733.5869367478,21946.0966483157,9117.13231787554,7684.52946066528,6389.67012110618,4835.32494345111,3180.45926530037,269342.851213012,258787.02992975,31207.1161083985,34247.7893899117,528129.881142762,65454.9054983102,0.123937137123693,0.11586391087736,0.132339667096951
