,PROVINCE,FID__Adm1_,OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,11_sum,wp_sum,hrsl_sum,FID_dry_de,OBJECTID_1,PALIKA_1,DISTRICT_1,GAPA_NAP_1,GN_TYPE_1,PROVINCE_1,Shape_Leng,Shape_Area,uncov_id,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_5,f_60,f_65,f_70,f_75,f_80,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_5,m_60,m_65,m_70,m_75,m_80,male_total,female_total,male_highrisk,female_highrisk,total,all_highrisk,all_risk_pct,male_risk_pct,female_risk_pct
0,1,2,1,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,4492159.90215559,4905943.05136428,5083153.71333557,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,95475236.1799,68310281368.5,dry_8hr,36038.4240357617,44477.1880563887,45350.3354348162,39827.4043815619,34472.4552580518,30673.797946434,27571.1521597191,22748.6670534746,19058.9031391649,14242.8550670482,31590.146326752,11353.3826921614,9930.77387573062,8017.08075612189,6316.97956956179,4155.02213007689,37977.8473600819,43635.4848122261,49325.82826632,44355.4018149094,37049.7164118979,32026.9344011601,28594.2596951423,23340.975483018,19033.084576146,14414.3356069502,31243.6308166668,11227.5235800989,9572.53993059565,7374.29990840438,5863.53174555738,3856.76745349754,398892.161862673,349786.143847064,37894.6626181539,39773.2390236526,748678.305709736,77667.9016418065,0.103740018976747,0.094999767458955,0.113707302942916
1,2,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,5375311.81997046,5870444.1176249,5870964.33565798,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,95475236.1799,68310281368.5,dry_8hr,23236.0496506258,21839.9997253963,23541.3124585128,23245.69566537,20876.1505474457,17574.7210433716,15173.6362362556,12517.0312383946,9918.72588633257,8658.85511485545,26173.0211192295,6770.24925947067,5460.28783065523,3934.9109551562,2268.73362923553,1492.26988720873,24722.4517049235,24732.3360035047,26186.1059397222,25401.0731617215,21807.0574608839,19757.2184920351,16635.512931903,13656.8588305577,10545.2190737292,8876.6415989903,26390.6667013548,7295.35459025449,5778.80026943283,4281.76167562959,2368.81564105223,1558.1003946019,239993.974470297,199445.600596891,21282.832570971,19926.4515617264,439439.575067187,41209.2841326974,0.093776906930599,0.0886806954964,0.099909205829016
2,3,6,229,Dudhouli Nagarpalika,SINDHULI,Dudhouli,Nagarpalika,5431960.48793367,5932310.82449287,6502930.48042134,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,95475236.1799,68310281368.5,dry_8hr,32865.3751442518,38948.6639895311,42302.9750404741,39133.6642111351,32590.4345595792,28096.0027687593,25376.1871685221,21166.0064884369,17633.4088734106,14072.8382587249,32468.2815239124,10060.4657680636,7852.29153255846,5718.84162479563,4271.77506500264,2809.77948424269,34627.0682299739,39817.7607670799,42298.8273493582,38147.2184127542,32674.0821733551,28014.3763769882,25729.3012028117,21872.1687561568,18562.3418439956,14792.8042613555,32269.9146156973,11213.213441568,8461.82732609845,6294.75867166207,4581.23851674087,3013.33262604613,362370.234571642,322501.616357149,33564.3705821155,30713.153474663,684871.850928791,64277.5240567786,0.09385335952939,0.092624524257054,0.09523410710801
3,4,5,402,Aarughat Gaunpalika,GORKHA,Aarughat,Gaunpalika,2375262.00513395,2594052.83441908,2192307.41512153,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,95475236.1799,68310281368.5,dry_8hr,11044.6726840054,10727.4330527216,11384.5639629996,9737.20592586792,8134.97938957367,7068.57884643591,5884.77685714223,4835.34097553541,3808.16422463847,3113.36657746055,12587.8370610179,3506.50622339782,2265.58390404296,1534.4280132763,795.940015507918,523.533168036395,11354.5391779049,10487.3399259524,12407.1032677926,11604.1958660678,9196.89440925469,8058.48810824953,6395.4284721498,5371.9960799964,3958.98795169614,3452.61580266288,12464.4547812051,3049.21645227642,1973.80808003067,1297.80757801549,751.668387787076,494.413662243911,102318.958003286,85908.2381976546,7566.91416035357,8625.99132426139,188227.19620094,16192.905484615,0.086028511349276,0.073954175335822,0.100409361258405
4,5,4,481,Chandrakot Gaunpalika,GULMI,Chandrakot,Gaunpalika,4454433.79883982,4864741.9098387,4464953.02403275,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,95475236.1799,68310281368.5,dry_8hr,20593.7685186094,22664.3097554233,24190.6433899735,21072.7862578485,17413.3367570021,14895.6136831197,12449.6550648852,10057.8040397902,7941.09920700588,6824.70544083031,20533.299294487,5757.3382518561,4435.05943943742,3149.89866213308,1939.52053719463,1275.72845388967,21409.0989811326,21240.2461315409,22256.4273554891,19703.4457080098,16876.7801250761,14651.6032453557,12275.6230585358,10096.2904258281,7949.1362320956,6634.72384567456,20719.2132047584,5428.53352816575,4329.69985804233,3069.59389702728,1945.95914244356,1279.96441193392,189866.33915111,174600.798234876,16053.7508376128,16557.5453445109,364467.137385986,32611.2961821237,0.089476643672231,0.084552906583595,0.094830868540689
5,6,3,562,Aathbiskot Nagarpalika,RUKUM WEST,Aathbiskot,Nagarpalika,1556848.70139016,1700253.60522526,1394027.6328764,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,95475236.1799,68310281368.5,dry_8hr,29046.4177822752,33067.8975355306,34999.1398191707,31184.4192202239,25518.8071032794,21629.5347257278,18933.1506857058,15225.8232645882,12296.2976060219,10478.4466229602,28888.2739178711,8295.25216732678,6363.71024596134,4570.08076747224,2817.00149297767,1852.89557809735,30313.0129646238,29499.0243509616,30368.462371283,26914.6526705803,22104.1067646903,19358.9949538182,16898.4766218779,14165.66581715,11492.6208082197,9807.96873384812,29215.2900715575,8072.15531060727,6483.09246021928,4704.92554568679,2957.56179108497,1945.35113232528,264301.362368534,256120.730752915,24163.0862399236,23898.9402518354,520422.093121449,48062.026491759,0.092352010275903,0.091422480850596,0.09331122936273
6,7,7,668,Badimalika Nagarpalika,BAJURA,Badimalika,Nagarpalika,2525186.64219194,2757787.37403286,2985958.32949828,1,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,95475236.1799,68310281368.5,dry_8hr,46478.2963356381,55753.5361379771,61153.07111985,57610.9489774285,47700.77694185,43205.1199885997,38686.299913042,33202.1867681556,28872.4692841516,24516.8566497183,41478.3076560505,20165.8868995648,16012.881121148,13989.0160536947,10127.4568009422,6661.38078857952,47705.1274948907,55819.5242163222,60872.9694638172,65321.4812730112,48495.4405456384,41205.3507544474,37829.4280476183,31967.3656401889,28355.6107987506,23332.5402828051,41735.350664866,17911.7410568236,15026.2978763138,12565.6902790844,9471.67232653743,6230.04001776818,543845.630738883,499136.195100752,61205.4415565273,66956.6216639292,1042981.82583964,128162.063220456,0.122880437650274,0.112541938552254,0.134144993533105
