,index,OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE,11_sum,wp_sum,hrsl_sum,uncov_id,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_50,f_55,f_5,f_60,f_65,f_70,f_75,f_80,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_50,m_55,m_5,m_60,m_65,m_70,m_75,m_80,male_total,female_total,male_highrisk,female_highrisk,total,all_highrisk,all_risk_pct,male_risk_pct,female_risk_pct
0,0,140,Agnisair Krishna Savaran Gaunpalika,SAPTARI,Agnisair Krishna Savaran,Gaunpalika,2,5375311.81997046,5870444.1176249,5870964.33565798,dry_12hr,23218.4229654521,21820.3950427989,23519.0648515499,23223.1372122758,20855.3582315207,17557.5086138495,15159.5056885156,12505.6217253383,9909.86793885054,8650.9107866647,26146.2680673441,6763.87290307967,5455.09552875976,3931.14506765211,2266.67777612223,1490.91764046095,24698.1122332565,24709.0566859459,26160.1486550481,25375.3842903429,21784.4580675664,19736.8947269164,16619.0180811567,13643.740615204,10535.330639117,8868.57897945854,26363.6188633682,7288.35548943782,5773.22730268887,4277.5747858226,2366.7023978119,1556.71039826178,239756.912211404,199255.347074783,21262.570374023,19907.7089160747,439012.259286186,41170.2792900977,0.09377933854749,0.088683868080829,0.099910537952104
1,1,1,Aathrai Tribeni Gaunpalika,TAPLEJUNG,Aathrai Tribeni,Gaunpalika,1,4492159.90215559,4905943.05136428,5083153.71333557,dry_12hr,30996.2915500442,39020.0222981754,39836.6094472303,34738.9625717779,30126.8017043608,26793.1734170653,24007.8405941607,19878.7458620778,16592.1377688223,12407.7156294353,26831.307138363,9885.17393938231,8686.0133706528,7007.57117923859,5528.25288538033,3636.23354394779,32755.7898673038,38151.1581481655,43405.6096885179,38651.6509239147,32306.8741595792,27875.7763365787,24775.1679856182,20139.4523793803,16386.8157363018,12409.7618449524,26615.9321863671,9606.70805973727,8297.92362958826,6339.41160916178,5053.07512297064,3323.68554344095,346094.793221578,304976.561350071,32620.8039648989,34743.2449186018,651071.354571649,67364.0488835007,0.103466460950076,0.094253957597144,0.1139210330289
2,2,562,Aathbiskot Nagarpalika,RUKUM WEST,Aathbiskot,Nagarpalika,6,1556848.70139016,1700253.60522526,1394027.6328764,dry_12hr,9521.63306745637,10834.8726603581,11599.23054069,10425.6078346795,8605.46890281305,7230.1742674541,6290.82020954407,5092.60604506303,4097.67423705665,3475.30811206018,9338.49031659186,2749.70868406609,2124.38134015371,1544.34879326928,975.381702961528,641.561762640234,9919.04950705137,9974.14062084679,10409.8825197106,9208.53340140564,7560.12629369015,6614.69119605109,5710.21632891201,4798.03445939721,3900.35022867531,3292.55794711866,9489.79097051277,2730.52300123097,2187.69157544625,1612.22820449412,1034.44798918163,680.413370307199,89122.6776140318,85025.6354094015,8245.30414066017,8035.38228309084,174148.313023433,16280.686423751,0.093487477088339,0.092516342208305,0.094505407038715
3,3,481,Chandrakot Gaunpalika,GULMI,Chandrakot,Gaunpalika,5,4454433.79883982,4864741.9098387,4464953.02403275,dry_12hr,15703.8579825626,17014.461004286,18109.2107921164,15545.3809581222,12872.5905101737,11112.3923305476,9325.15733053115,7668.15379206412,6168.3141277748,5288.14394407837,15588.680879961,4510.04141733486,3493.62131214689,2493.67180481109,1579.81933450809,1039.13334828782,16151.3839899709,15616.6567706974,15798.2512821423,13907.0011671802,12074.9267407036,10508.0350988518,8929.01988680699,7438.38273877767,6025.05322739279,5080.17495573702,15689.7261303364,4142.10491124565,3335.10110636321,2366.96949656709,1555.42139420911,1023.08623868213,139641.295135664,131808.772886744,12422.6831470672,13116.2872170887,271450.068022408,25538.9703641559,0.094083492224609,0.088961385920965,0.099509971376176
4,4,402,Aarughat Gaunpalika,GORKHA,Aarughat,Gaunpalika,4,2375262.00513395,2594052.83441908,2192307.41512153,dry_12hr,9753.77346868472,9445.61510818825,10014.2025119594,8565.57173763601,7161.47212108263,6214.95394513511,5176.07146888484,4249.44128416586,3350.67417852847,2741.1066175907,11081.1148699702,3101.76376991825,2008.13346290775,1370.6979181551,708.335191054692,465.910695741925,10007.0023896919,9227.42860153554,10898.8977358655,10174.0648232184,8069.70542110683,7065.58235012701,5602.00363999915,4708.91741295621,3463.26738831413,3028.60081279344,10984.9149252127,2679.128247096,1739.88698100991,1148.12888715347,665.766191416592,437.911060870743,89901.2068683675,75655.0648809192,6670.82136754672,7654.84103777772,165556.271749287,14325.6624053244,0.086530472412539,0.074201688719419,0.101180813866546
5,5,229,Dudhouli Nagarpalika,SINDHULI,Dudhouli,Nagarpalika,3,5431960.48793367,5932310.82449287,6502930.48042134,dry_12hr,30278.079447987,36008.350705812,39218.5752403177,36366.6401261749,30290.8161208606,26040.3757882169,23493.9368674479,19551.4689302564,16284.319634336,12995.041759066,29874.0300368136,9252.71357289536,7199.68857585863,5215.27673928305,3882.96527489071,2554.03806994992,31951.6201334524,36832.671896849,39416.1104125273,35651.1469162271,30551.1264359197,26126.8945391489,23966.948685728,20281.4673268548,17210.5008380034,13727.6468395948,29675.3688507469,10374.8231589375,7810.73825565245,5781.20559126888,4211.61264653462,2770.20935961008,336340.091887056,298228.23744218,30948.5890120035,28104.6822328777,634568.329329236,59053.2712448812,0.093060539764572,0.092015759519969,0.094238836918743
6,6,668,Badimalika Nagarpalika,BAJURA,Badimalika,Nagarpalika,7,2525186.64219194,2757787.37403286,2985958.32949828,dry_12hr,17217.8677519657,20619.6097734451,22112.6595846075,20348.9563343163,16670.2875304035,15141.6903662289,13466.7414186693,11763.6875504378,10257.9195728676,8787.75746762254,15087.6559486466,7214.60928053019,5764.73734463954,4706.29109853233,3509.73660312442,2308.54524973252,17502.4279621041,19993.7391796849,19383.1830316356,18697.4143770026,14519.8120591804,12440.4132952817,11574.5298096879,9989.06666731358,9164.34034206916,7919.6403622602,15259.609966913,6226.89239410618,5282.15149120996,4372.95314018311,3321.19557934966,2184.5330817713,177831.902739753,177760.885123804,21387.7256866202,23503.919576559,355592.787863557,44891.6452631792,0.126244532497111,0.120269340636364,0.132222111519018
