Districts,Palika,HLCIT_CODE,cbs code,Total_PE,Agriculture_PE,Manufacturing_PE,Construction_PE,Wholesales_PE,Transportations_PE,Accommodations_PE,Financial_PE,Education_PE,Social_Work_PE,Real_Eastate_PE
Gulmi,Musikot Municipality,524 5 51 3 001,50404,2472,143,251,60,667,25,211,50,738,115,212
Gulmi,Resunga Municipality,524 5 51 3 002,50409,5060,110,500,102,1561,102,635,302,832,207,709
Gulmi,Ruru Gaunpalika,524 5 51 4 008,50412,2299,124,285,29,627,29,300,96,497,96,216
Gulmi,Satyawoti Gaunpalika,524 5 51 4 009,50402,1552,33,180,0,468,5,195,17,476,81,97
Humla,Adanchuli Gaunpalika,524 6 66 4 007,60306,1311,70,148,8,244,18,66,183,164,335,75
Humla,Chankheli Gaunpalika,524 6 66 4 005,60301,586,16,142,0,176,0,57,2,145,39,9
Humla,Kharpunath Gaunpalika,524 6 66 4 003,60302,607,8,215,4,107,0,82,1,133,44,13
Humla,Namkha Gaunpalika,524 6 66 4 001,60304,426,0,33,6,40,3,214,1,73,23,33
Humla,Sarkegad Gaunpalika,524 6 66 4 004,60305,712,0,221,4,130,3,74,10,194,72,4
Humla,Simkot Gaunpalika,524 6 66 4 002,60303,1575,16,194,80,343,111,236,44,233,79,239
Humla,Tanjakot Gaunpalika,524 6 66 4 006,60307,522,60,66,1,178,0,44,1,142,19,11
Ilam,Chulachuli Gaunpalika,524 1 03 4 004,11007,1198,83,63,22,505,5,109,26,300,39,46
Ilam,Deumai Municipality,524 1 03 3 001,11004,2742,108,500,0,981,19,237,64,631,85,117
Ilam,Fakfokathum Gaunpalika,524 1 03 4 001,11005,1579,51,299,21,446,7,84,25,434,44,168
Ilam,Illam Municipality,524 1 03 3 002,11003,7790,120,973,499,2208,80,1113,337,1485,334,641
Ilam,Mai Jogmai Gaunpalika,524 1 03 4 003,11001,1417,285,222,41,303,7,87,38,332,39,63
Ilam,Mai Municipality,524 1 03 3 004,11008,2156,420,150,60,648,6,132,37,472,37,194
Ilam,Mangsebung Gaunpalika,524 1 03 4 005,11006,1314,146,96,4,431,23,112,5,295,26,176
Ilam,Rong Gaunpalika,524 1 03 4 006,11010,926,44,28,0,327,15,156,6,284,32,34
Ilam,Sandakpur Gaunpalika,524 1 03 4 002,11002,1122,48,195,56,340,10,147,7,234,36,49
Ilam,Suryodaya Municipality,524 1 03 3 003,11009,6560,223,1450,36,2116,87,835,180,1067,137,429
Jajarkot,Barekot Gaunpalika,524 6 60 4 003,60701,764,21,32,18,237,9,38,0,351,54,4
Jajarkot,Bheri Malika Municipality,524 6 60 3 002,60706,2736,84,203,45,885,46,288,158,582,81,364
Jajarkot,Chhedagad Municipality,524 6 60 3 001,60704,1760,57,63,0,727,6,180,6,626,58,37
Jajarkot,Junichande Gaunpalika,524 6 60 4 001,60703,710,39,17,0,268,6,16,0,321,34,9
Jajarkot,Kuse Gaunpalika,524 6 60 4 002,60702,697,24,23,15,237,7,17,9,306,40,19
Jajarkot,Shivalaya Gaunpalika,524 6 60 4 004,60705,740,46,35,0,263,8,75,6,271,26,10
Jajarkot,Tribeni Nalagad Municipality,524 6 60 3 003,60707,1087,38,49,14,376,3,168,0,367,50,22
Jhapa,Arjundhara Municipality,524 1 04 3 004,11103,6521,126,932,103,2654,23,885,72,1074,172,480
Jhapa,Barhadashi Gaunpalika,524 1 04 4 005,11111,3682,150,798,24,862,15,259,69,534,43,928
Jhapa,Bhadrapur Municipality,524 1 04 3 008,11114,11538,150,1798,202,3092,275,1356,1878,1715,409,663
Jhapa,Birtamod Municipality,524 1 04 3 007,11112,22902,280,4119,311,8554,299,2714,811,2595,1966,1253
Jhapa,Buddhashanti Gaunpalika,524 1 04 4 002,11102,4403,85,752,61,1735,17,449,149,787,102,266
Jhapa,Damak Municipality,524 1 04 3 001,11107,19402,295,2582,201,7295,819,2430,963,2367,1084,1366
Jhapa,Gauradaha Municipality,524 1 04 3 006,11108,4687,104,805,39,1886,24,452,137,900,89,251
Jhapa,Gauriganj Gaunpalika,524 1 04 4 003,11109,2461,29,299,4,1075,0,309,41,481,49,174
Jhapa,Haldibari Gaunpalika,524 1 04 4 006,11113,3338,325,930,0,986,13,278,61,588,36,121
Jhapa,Jhapa Gaunpalika,524 1 04 4 004,11110,1963,62,314,0,740,9,214,47,400,54,123
Jhapa,Kachanakawal Gaunpalika,524 1 04 4 007,11115,4164,996,999,9,962,18,218,68,655,64,175
Jhapa,Kamal Gaunpalika,524 1 04 4 001,11106,3547,138,611,4,1255,19,403,103,748,49,217
Jhapa,Kankai Municipality,524 1 04 3 003,11104,5645,130,796,42,2247,34,683,194,935,123,461
Jhapa,Mechinagar Municipality,524 1 04 3 005,11101,17023,1093,4028,118,5716,230,2085,380,2104,310,959
Jhapa,Shivasatakshi Municipality,524 1 04 3 002,11105,5561,116,688,15,2186,40,643,183,1271,104,315
Jumla,Chandannath Municipality,524 6 63 3 001,60404,3147,75,156,41,1142,85,401,150,533,232,332
Jumla,Guthichaur Gaunpalika,524 6 63 4 007,60405,501,17,13,0,263,0,48,6,114,32,8
