District ,Name of municipalities,HLCIT_CODE,CBS_Code,Total,Without any facility,At least one facility,Radio,Television,Cable television,computer,internet,Tele phone ,Mobile phone
Rautahat,Rajdevi Municipality,524 2 32 3 016,20616,5365,980,4274,2198,1069,73,45,13,17,2602
Rautahat,Rajpur Municipality,524 2 32 3 014,20613,5768,1970,3561,1221,525,47,27,4,27,2067
Rautahat,Yamunamai Gaunpalika,524 2 32 4 001,20614,3776,925,2759,1030,672,29,25,2,22,1965
Bara,Aadarsha Kotwal Gaunpalika,524 2 33 4 009,20711,3960,543,3304,1123,667,19,22,2,7,2129
Bara,Baragadhi Gaunpalika,524 2 33 4 006,20710,4270,861,3354,937,1258,52,29,7,75,1963
Bara,Bishrampur Gaunpalika,524 2 33 4 004,20706,3395,291,3062,731,1104,55,32,7,39,1890
Bara,Devtal Gaunpalika,524 2 33 4 007,20715,3185,383,2689,552,672,59,34,5,30,1899
Bara,Jitpur Simara Sub-Metropolitian City,524 2 33 2 001,20703,21670,1620,19679,7876,11662,7362,951,214,902,15380
Bara,Kalaiya Sub-Metropolitian City,524 2 33 2 002,20708,18689,1474,16806,5674,7737,2032,548,106,651,11812
Bara,Karaiyamai Gaunpalika,524 2 33 4 003,20709,4173,446,3653,1427,1551,39,46,13,21,2381
Bara,Kolhabi Municipality,524 2 33 3 002,20702,8111,728,7216,3705,3929,432,103,29,141,4925
Bara,Mahagadhimai Municipality,524 2 33 3 003,20714,7773,702,6872,2276,2128,825,66,19,106,4879
Bara,Nijagadh Municipality,524 2 33 3 001,20701,7162,738,6280,3329,2536,1972,244,62,273,4677
Bara,Pacharauta Municipality,524 2 33 3 004,20713,4707,716,3912,1602,929,58,33,6,44,2385
Bara,Parawanipur Gaunpalika,524 2 33 4 001,20704,3166,203,2900,1192,1382,441,71,7,34,2279
Bara,Pheta Gaunpalika,524 2 33 4 005,20707,3585,271,3273,784,1435,86,18,1,14,2190
Bara,Prasauni Gaunpalika,524 2 33 4 002,20705,3626,337,3239,963,1624,70,76,11,44,2316
Bara,Simroungadh Municipality,524 2 33 3 005,20712,7093,757,6266,2830,1600,222,60,16,61,3489
Bara,Subarna Gaunpalika,524 2 33 4 008,20716,4035,361,3592,1163,676,48,26,4,34,2229
Parsa,Bahudarmai Municipality,524 2 34 3 002,20808,5681,296,5288,1925,2592,229,46,5,24,3502
Parsa,Bindabasini Gaunpalika,524 2 34 4 010,20814,3576,137,3351,944,1089,171,35,2,24,1765
Parsa,Birgunj Metropolitian City,524 2 34 1 001,20807,39286,2149,36338,11061,20682,13300,3864,1359,3181,27722
Parsa,Chhipaharmai Gaunpalika,524 2 34 4 007,20812,3983,872,2808,932,613,11,24,2,20,1557
Parsa,Dhobini Gaunpalika,524 2 34 4 006,20811,2975,476,2438,376,633,33,13,2,7,1298
Parsa,Jagarnathpur Gaunpalika,524 2 34 4 005,20803,4953,705,4095,1126,827,40,32,1,12,2356
Parsa,Jirabhawani Gaunpalika,524 2 34 4 002,20802,4117,641,3366,1231,1138,77,14,0,14,1886
Parsa,Kalikamai Gaunpalika,524 2 34 4 008,20810,3042,422,2518,873,954,28,25,4,33,1896
Parsa,Pakaha Mainpur Gaunpalika,524 2 34 4 009,20813,3038,454,2497,599,921,21,33,9,20,1431
Parsa,Parsagadhi Municipality,524 2 34 3 003,20806,6412,563,5679,2316,2531,222,50,5,29,3743
Parsa,Paterwa Sugauli Gaunpalika,524 2 34 4 003,20804,4002,453,3397,1236,1198,103,28,1,38,2063
Parsa,Pokhariya Municipality,524 2 34 3 001,20809,4875,420,4368,905,1427,27,25,8,32,2702
Parsa,Sakhuwa Prasauni Gaunpalika,524 2 34 4 004,20805,5329,591,4633,1964,1770,185,41,9,36,2985
Parsa,Thori Gaunpalika,524 2 34 4 001,20801,4247,514,3656,3026,1239,75,22,5,45,2290
Sindhuli,Dudhouli Municipality,524 3 20 3 002,31101,13164,3006,9504,5858,3128,625,112,12,390,6492
Sindhuli,Ghyanglekha Gaunpalika,524 3 20 4 003,31107,2457,941,1472,1253,77,3,4,0,39,720
Sindhuli,Golanjor Gaunpalika,524 3 20 4 005,31104,3681,806,2816,2380,460,221,19,2,154,1815
Sindhuli,Hariharpurgaghi Gaunpalika,524 3 20 4 001,31109,4586,1636,2817,2169,295,24,9,1,55,1525
Sindhuli,Kamalamai Municipality,524 3 20 3 001,31105,14315,2476,11661,7648,5395,4134,744,215,1196,8539
Sindhuli,Marin Gaunpalika,524 3 20 4 002,31108,4870,1639,3148,2552,160,13,23,3,177,1752
Sindhuli,Phikkal Gaunpalika,524 3 20 4 007,31102,3035,941,1997,1837,67,3,4,1,76,835
Sindhuli,Sunkoshi Gaunpalika,524 3 20 4 004,10407,4557,991,3436,3038,440,91,13,1,253,2338
Sindhuli,Tinpatan Gaunpalika,524 3 20 4 006,31103,6879,2057,4697,4198,450,49,14,1,581,1991
Ramechhap,Doramba Gaunpalika,524 3 21 4 002,31007,4993,1443,3263,2708,381,11,9,0,36,1946
Ramechhap,Gokulganga Gaunpalika,524 3 21 4 003,31002,4446,597,3579,2918,852,244,38,9,33,2574
Ramechhap,Khandadevi Gaunpalika,524 3 21 4 005,31006,5372,1053,4073,3565,467,13,8,0,63,2577
Ramechhap,Likhu Gaunpalika,524 3 21 4 006,10405,4928,990,3805,3462,183,41,16,1,104,2419
Ramechhap,Manthali  Municipality,524 3 21 3 001,31005,10099,1718,8018,6466,1745,782,264,89,401,5909
Ramechhap,Ramechhap Municipality,524 3 21 3 002,31004,6126,1261,4730,4341,958,203,39,4,235,2693
Ramechhap,Sunapati Gaunpalika,524 3 21 4 001,31008,4050,761,3153,2776,441,10,25,4,66,1942
Ramechhap,Umakunda Gaunpalika,524 3 21 4 004,31001,3869,631,3115,2879,546,36,28,4,148,1946
Dolakha,Baitedhar Gaunpalika,524 3 22 4 004,20304,5079,693,4294,3752,1398,122,127,15,26,3004
Dolakha,Bhimeshwor Municipality,524 3 22 3 001,30109,8639,1028,7504,6069,3364,1922,504,145,368,5660
Dolakha,Bigu Gaunpalika,524 3 22 4 001,30102,4418,1138,3228,3040,294,9,11,2,60,1127
Dolakha,Gaurishankar Gaunpalika,524 3 22 4 002,30101,4067,590,3357,3173,317,40,10,0,77,1513
Dolakha,Jiri Municipality,524 3 22 3 002,30105,3854,451,3379,2765,810,673,148,38,190,2409
Dolakha,Kalinchowk Gaunpalika,524 3 22 4 003,30103,5457,971,4363,4108,688,137,44,6,19,2361
Dolakha,Melung Gaunpalika,524 3 22 4 006,30107,4841,850,3866,3505,776,143,20,7,19,2463
Dolakha,Shailung Gaunpalika,524 3 22 4 005,30108,4958,783,4078,3600,998,194,24,2,30,2876
Dolakha,Tamakoshi Gaunpalika,524 3 22 4 007,30106,4345,620,3712,3245,1047,181,81,23,42,2771
Sindhupalchok,Bahrabise Municipality,524 3 23 3 003,30209,6225,1512,4589,2586,1985,771,130,54,240,3763
Sindhupalchok,Balephi Gaunpalika,524 3 23 4 006,30208,4429,767,3580,2225,1786,566,122,46,168,2828
Sindhupalchok,Bhotekoshi Gaunpalika,524 3 23 4 004,30201,4183,958,3165,1266,1286,1073,65,33,114,2593
Sindhupalchok,Choutara Sangachowkgadhi Municipality,524 3 23 3 002,30207,10906,1592,9037,6068,4828,924,329,123,345,6925
Sindhupalchok,Helambu Gaunpalika,524 3 23 4 001,30204,4203,658,3464,2693,1371,203,27,11,60,2556
Sindhupalchok,Indrawoti Gaunpalika,524 3 23 4 005,30206,6211,1272,4786,3442,1908,17,40,7,34,3857
Sindhupalchok,Jugal Gaunpalika,524 3 23 4 003,30202,3941,1070,2829,2426,547,24,17,2,25,1479
Sindhupalchok,Lisankhu Pakhar Gaunpalika,524 3 23 4 009,30211,3680,605,3018,2342,1299,90,59,16,103,2464
Sindhupalchok,Melanchi Municipality,524 3 23 3 001,30205,10097,2106,7907,5110,2700,471,144,66,111,6346
Sindhupalchok,Panchpokhari Thangpal Gaunpalika,524 3 23 4 002,30203,5007,1260,3591,2304,1806,20,15,12,27,2544
Sindhupalchok,Sunkoshi Gaunpalika,524 3 23 4 007,10407,4359,714,3590,2486,2128,275,61,22,73,2540
Sindhupalchok,Tripurasundari Gaunpalika,524 3 23 4 008,30210,3394,1033,2345,1701,955,146,12,3,32,1648
Kavrepalanchok,Banepa Municipality,524 3 24 3 002,30904,12106,345,11583,6521,10123,5036,2581,856,2065,10244
Kavrepalanchok,Bethanchowk Gaunpalika,524 3 24 4 003,30910,3601,518,3005,2061,1732,86,54,6,218,2572
Kavrepalanchok,Bhumlu Gaunpalika,524 3 24 4 001,30902,4513,751,3595,2949,1473,93,47,26,109,2169
Kavrepalanchok,Chauri Deurali Gaunpalika,524 3 24 4 002,30901,4664,1166,3461,2908,743,12,32,3,72,2366
Kavrepalanchok,Dhulikhel Municipality,524 3 24 3 003,30905,7061,550,6351,3954,4615,1277,786,254,599,5439
Kavrepalanchok,Khanikhola Gaunpalika,524 3 24 4 006,30913,2372,740,1566,1213,243,10,7,0,115,884
Kavrepalanchok,Mahabharat Gaunpalika,524 3 24 4 007,30912,2910,1019,1790,1383,265,1,11,0,71,1042
Kavrepalanchok,Mandan Deupur Municipality,524 3 24 3 001,30903,7328,883,6281,4175,3202,362,187,58,219,5321
Kavrepalanchok,Namobuddha Municipality,524 3 24 3 006,30908,6584,650,5692,3883,3557,239,120,21,256,4251
Kavrepalanchok,Panauti Municipality,524 3 24 3 005,30909,10196,461,9534,5987,8386,1400,1177,326,1197,8165
Kavrepalanchok,Panchkhal Municipality,524 3 24 3 004,30906,8544,885,7564,4818,5117,582,393,89,464,6563
Kavrepalanchok,Roshi Gaunpalika,524 3 24 4 004,30911,5896,1320,4421,3541,1027,63,35,6,245,2434
Kavrepalanchok,Temal Gaunpalika,524 3 24 4 005,30907,4876,1122,3540,2644,812,20,38,3,120,2384
Lalitpur,Bagmati Gaunpalika,524 3 25 4 001,20503,2614,381,2175,1797,746,116,22,8,126,1470
Lalitpur,Godawari Municipality,524 3 25 3 001,30803,17762,771,16610,9441,13807,5283,3267,1113,3261,14150
Lalitpur,Konjyosom Gaunpalika,524 3 25 4 002,30804,2001,326,1610,1159,981,44,23,0,66,1138
Lalitpur,Lalitpur Metropolitian City,524 3 25 1 001,30801,70256,898,68710,41024,46906,46364,28336,14958,25181,63717
Lalitpur,Mahalaxmi Municipality,524 3 25 3 002,10701,14930,424,14267,7972,9291,8829,4793,1805,4558,12603
Lalitpur,Mahankal Gaunpalika,524 3 25 4 003,30805,1942,203,1722,1459,808,109,29,11,72,1362
Bhaktapur,Bhaktapur Municipality,524 3 26 3 003,30702,17639,424,17033,8640,15036,9889,5352,2198,4816,15418
Bhaktapur,Changunarayan Municipality,524 3 26 3 002,30701,12170,404,11510,6880,10143,3856,1924,539,2010,9689
Bhaktapur,Madhyapur Thimi Municipality,524 3 26 3 001,30703,20302,350,19785,12262,16307,13285,7529,3863,5626,18540
Bhaktapur,Suryabinayak Municipality,524 3 26 3 004,30704,18446,455,17772,10738,15222,10548,5419,2364,5028,15941
Kathmandu,Budhanilkhantha Municipality,524 3 27 3 003,30604,26485,418,25861,15448,20734,17310,8778,4497,7143,23905
Kathmandu,Chandragiri Municipality,524 3 27 3 008,30610,20532,514,19812,11222,15460,12286,5274,2182,5529,17907
Kathmandu,Dakshinkali Municipality,524 3 27 3 010,30611,5488,370,5025,3102,4314,1838,861,332,819,4453
Kathmandu,Gokarneshwor Municipality,524 3 27 3 004,30603,27106,649,26060,10923,18018,15396,5432,2152,4298,23836
Kathmandu,Kageshwori Manahara Municipality,524 3 27 3 006,30602,14329,397,13793,7450,11141,6924,3885,1524,3464,12482
Kathmandu,Kathmandu Metropolitian City,524 3 27 1 001,30601,254292,2903,249301,148315,195795,182144,103045,60371,80413,233802
Kathmandu,Kirtipur Municipality,524 3 27 3 009,30609,19441,286,19077,12911,11483,9636,7751,4504,5038,18097
Kathmandu,Nagarjun Municipality,524 3 27 3 005,30607,16746,207,16380,10019,13276,10371,5480,2609,4737,15331
Kathmandu,Shankharapur Municipality,524 3 27 3 007,30601,5406,525,4765,2887,3382,1110,500,147,512,4044
Kathmandu,Tarakeshwor Municipality,524 3 27 3 001,30507,20158,542,19440,9849,14022,10561,4846,1683,3257,17721
Kathmandu,Tokha Municipality,524 3 27 3 002,30605,25561,427,24971,12428,17996,17314,8670,4353,6303,23605
Nuwakot,Belkotgadhi Municipality,524 3 28 3 002,30508,8099,865,6833,5442,1910,316,102,23,152,5573
Nuwakot,Bidur Municipality,524 3 28 3 001,30504,12505,1219,10946,6216,5729,3643,923,242,1166,8830
Nuwakot,Dupcheshwor Gaunpalika,524 3 28 4 008,30501,4451,981,3301,2861,347,47,12,1,35,1660
Nuwakot,Kakani Gaunpalika,524 3 28 4 009,30512,5183,576,4485,3475,2335,273,94,27,122,3301
Nuwakot,Kispang Gaunpalika,524 3 28 4 002,30505,3340,821,2398,1405,1083,177,29,4,19,1821
Nuwakot,Likhu Gaunpalika,524 3 28 4 006,10405,3629,442,3063,2216,1789,312,80,22,44,2322
Nuwakot,Meghang Gaunpalika,524 3 28 4 001,30506,3388,630,2664,1948,1535,94,28,6,114,1602
Nuwakot,Panchakanya Gaunpalika,524 3 28 4 007,30510,3321,433,2748,2266,718,127,30,3,75,1964
Nuwakot,Shivapuri Gaunpalika,524 3 28 4 010,30511,4676,1071,3537,2944,433,8,9,3,30,2419
Nuwakot,Suryagadhi Gaunpalika,524 3 28 4 004,30503,3509,797,2652,1876,824,89,33,3,32,2134
Nuwakot,Tadi Gaunpalika,524 3 28 4 005,30502,3582,661,2697,2270,784,62,31,9,106,1800
Nuwakot,Tarakeshwor Gaunpalika,524 3 28 4 003,30507,3511,453,2938,2357,704,86,10,100,33,2157
Rasuwa,Gosaikunda Gaunpalika,524 3 29 4 002,30301,2017,424,1586,858,687,519,95,52,340,1200
Rasuwa,Kalika Gaunpalika,524 3 29 4 004,30304,2089,212,1848,1366,621,383,55,12,113,1424
Rasuwa,Naukunda Gaunpalika,524 3 29 4 005,30305,2483,592,1859,1502,274,14,20,3,31,1194
Rasuwa,Parbatikunda Gaunpalika,524 3 29 4 001,30302,1306,535,756,414,115,26,12,5,26,562
Rasuwa,Uttargaya Gaunpalika,524 3 29 4 003,30303,1846,436,1394,945,574,394,49,11,87,1084
Dhading,Benighat Rorang Gaunpalika,524 3 30 4 008,30409,6169,1309,4783,3550,557,1030,138,42,265,3136
Dhading,Dhunibenshi Municipality,524 3 30 3 002,30413,6759,773,5912,4195,3574,574,161,44,144,4656
Dhading,Gajuri Gaunpalika,524 3 30 4 009,30410,5600,1144,4373,3002,412,849,149,47,102,3344
Dhading,Galchhi Gaunpalika,524 3 30 4 010,30411,5410,764,4502,3323,930,699,132,23,275,3304
Dhading,Ganga Jamuna Gaunpalika,524 3 30 4 002,30403,4864,715,4030,3440,784,37,16,0,204,3123
Dhading,Jwalamukhi Gaunpalika,524 3 30 4 006,30407,5730,639,4949,4194,1050,135,39,10,107,3736
Dhading,Khaniyabas Gaunpalika,524 3 30 4 003,30402,2651,580,1926,1643,527,14,11,3,86,1222
Dhading,Netrawati Gaunpalika,524 3 30 4 005,30405,3121,365,2708,2372,691,44,14,2,55,2023
Dhading,Nilkhantha Municipality,524 3 30 3 001,30406,13984,1216,12442,9129,4080,2708,763,298,915,10507
Dhading,Rubi Valley Gaunpalika,524 3 30 4 001,30401,2134,1150,952,863,152,1,4,1,12,213
Dhading,Siddhalek Gaunpalika,524 3 30 4 007,30408,5138,760,4292,3385,1058,214,66,13,89,3320
Dhading,Thakre Gaunpalika,524 3 30 4 011,30412,6927,790,5953,4212,2001,641,133,32,116,4727
Dhading,Tripurasundari Gaunpalika,524 3 30 4 004,60105,5355,668,4604,3857,870,216,40,11,269,3584
Makwanpur,Bagmati Gaunpalika,524 3 31 4 008,20503,5731,1561,4016,3135,753,25,20,1,143,2105
Makwanpur,Bakaiya Gaunpalika,524 3 31 4 007,31209,7538,1710,5679,3746,1483,256,56,25,170,4244
Makwanpur,Bhimphedi Gaunpalika,524 3 31 4 004,31207,4810,580,4112,2950,1736,457,89,18,148,3323
Makwanpur,Hetauda Sub-Metropolitian City,524 3 31 2 001,31206,34270,1980,31938,20842,20242,18606,5131,1894,4601,28307
Makwanpur,Indrasarowar Gaunpalika,524 3 31 4 005,31201,3054,677,2362,1747,1060,57,29,4,68,1670
Makwanpur,Kailash Gaunpalika,524 3 31 4 003,31203,4263,1204,2939,2536,149,6,2,1,26,1546
Makwanpur,Makawanpurgadhi Gaunpalika,524 3 31 4 006,31208,5003,642,4295,3518,1644,214,67,8,132,3370
Makwanpur,Manahari Gaunpalika,524 3 31 4 001,31205,7891,1511,6313,4030,2416,1469,142,32,120,4971
Makwanpur,Raksirang Gaunpalika,524 3 31 4 002,31204,4557,1098,3393,3017,193,6,9,0,20,1725
Makwanpur,Thaha Municipality,524 3 31 3 001,31202,8928,1043,7722,5837,3475,1747,175,54,272,6166
Chitawan,Bharatpur Metropolitian City,524 3 35 1 001,30702,69035,2453,65941,45258,43239,34122,12550,6976,11371,57996
Chitawan,Ichchha Kamana Gaunpalika,524 3 35 4 001,31303,4778,727,3940,2995,861,833,135,44,195,2647
Chitawan,Kalika Municipality,524 3 35 3 001,30304,9116,773,8214,5742,3791,2118,468,157,311,6511
Chitawan,Khairahani Municipality,524 3 35 3 003,31306,12331,422,11750,6910,6596,4810,1345,619,1171,10053
Chitawan,Madi Municipality,524 3 35 3 005,10209,8960,894,7857,6499,2244,67,48,95,292,6220
Chitawan,Rapti Municipality,524 3 35 3 004,31301,12055,1179,10746,7092,5126,2366,737,286,708,8487
Chitawan,Ratnanagar Municipality,524 3 35 3 002,31305,16070,481,15420,10328,9195,9052,2497,1356,2661,13722
Gorkha,Aarughat Gaunpalika,524 4 36 4 006,40105,5614,1272,4243,3420,878,354,60,16,147,2784
Gorkha,Ajirkot Gaunpalika,524 4 36 4 002,40102,3618,708,2824,2355,550,38,12,0,27,1832
Gorkha,Bhimsen Gaunpalika,524 4 36 4 007,40106,5438,688,4624,3985,1397,83,40,5,56,3688
Gorkha,Chumanubri Gaunpalika,524 4 36 4 001,40101,1949,1033,897,696,161,32,10,2,24,294
Gorkha,Dharche Gaunpalika,524 4 36 4 004,40104,3128,1222,1872,1605,169,20,4,0,31,819
Gorkha,Gandaki Gaunpalika,524 4 36 4 009,40111,5253,816,4311,3406,1112,602,30,2,80,2955
Gorkha,Gorkha Municipality,524 4 36 3 002,40109,13127,946,11939,9540,7442,3899,780,238,1066,10518
Gorkha,Palungtar Municipality,524 4 36 3 001,40108,9924,1378,8475,6316,4447,842,100,20,119,7016
Gorkha,Shahid Lakhan Gaunpalika,524 4 36 4 008,40110,6682,757,5756,4593,2642,863,84,22,117,4962
Gorkha,Siranchowk Gaunpalika,524 4 36 4 005,40107,5896,927,4842,4048,1835,141,23,4,53,3424
Gorkha,Sulikot Gaunpalika,524 4 36 4 003,40103,5829,1472,4219,3414,837,420,18,6,44,2658
Lamjung,Bensi Shahar Municipality,524 4 37 3 002,40605,10422,770,9472,6315,1604,4750,723,330,590,8318
Lamjung,Dordi Gaunpalika,524 4 37 4 003,40601,4337,792,3359,2531,708,368,24,9,39,2437
Lamjung,Dudhapokhari Gaunpalika,524 4 37 4 004,40608,2590,432,2118,1822,328,65,3,1,28,1395
Lamjung,Kwhola Sothar Gaunpalika,524 4 37 4 001,40603,2452,384,2005,1578,377,144,8,6,37,1469
Lamjung,Madhya Nepal Municipality,524 4 37 3 001,40604,5888,573,5205,4064,1225,961,128,39,114,4435
Lamjung,Marshyangdi Gaunpalika,524 4 37 4 002,40602,4409,709,3551,2354,651,1093,46,31,51,3076
Lamjung,Rainas Municipality,524 4 37 3 004,40607,4751,694,3981,2877,1295,556,39,7,101,3185
Lamjung,Sundarbazar Municipality,524 4 37 3 003,40606,7199,709,6380,4034,2274,2321,326,103,70,5589
Tanahu,Aanbu Khaireni Gaunpalika,524 4 40 4 005,40710,4911,399,4406,2678,1600,1977,384,125,385,3946
Tanahu,Bandipur Gaunpalika,524 4 40 4 004,40709,4853,771,4017,2410,1220,1297,190,72,284,3510
Tanahu,Bhanu Municipality,524 4 40 3 003,40701,12095,1250,10558,6913,5576,2312,186,61,381,8994
Tanahu,Bhimad Municipality,524 4 40 3 004,40705,7488,781,6385,3777,1797,1055,214,45,374,5811
Tanahu,Byas Municipality,524 4 40 3 002,40702,18339,1489,16517,10276,7520,7209,1589,548,1794,14434
Tanahu,Devghat Gaunpalika,524 4 40 4 006,40708,3435,758,2513,1902,548,257,34,15,24,1923
Tanahu,Ghiring Gaunpalika,524 4 40 4 002,40706,4137,761,3225,2289,387,6,15,4,28,2615
Tanahu,Myagde Gaunpalika,524 4 40 4 001,40703,5628,506,5012,2606,2116,1256,182,32,55,4321
Tanahu,Rhishing Gaunpalika,524 4 40 4 003,40707,5215,1321,3839,2576,523,61,26,24,30,3221
Tanahu,Shuklagandaki Municipality,524 4 40 3 001,40704,12185,1027,10889,6908,6040,4230,697,269,778,9705
Syangja,Aandhikhola Gaunpalika,524 4 41 4 001,40903,4125,459,3609,2362,1117,923,62,40,70,3202
Syangja,Arjun Choupari Gaunpalika,524 4 41 4 003,40904,3938,403,3463,2464,929,875,50,25,65,2995
Syangja,Bhirkot Municipaity,524 4 41 3 002,40905,6083,390,5504,3864,1864,1719,134,173,59,4830
Syangja,Biruwa Gaunpalika,524 4 41 4 004,40906,4305,678,3577,2059,612,858,28,9,140,3093
Syangja,Chapakot Municipality,524 4 41 3 005,40908,5934,636,5238,3625,880,1447,97,42,76,4831
Syangja,Galyang Municipality,524 4 41 3 003,40910,8275,576,7550,4600,1693,2764,353,135,331,6930
Syangja,Harinas Gaunpalika,524 4 41 4 005,40907,3906,525,3236,2144,828,172,42,2,84,2765
Syangja,Kaligandaki Gaunpalika,524 4 41 4 006,40911,4972,422,4499,3141,1001,1500,118,85,97,4005
Syangja,Phedikhola Gaunpalika,524 4 41 4 002,40902,3254,267,2952,1932,1081,955,110,65,188,2669
Syangja,Putalibazar Municipality,524 4 41 3 001,40901,11882,1021,10728,6430,2479,5139,664,226,726,9434
Syangja,Walling Municipality,524 4 41 3 004,40909,12182,903,11155,6973,4920,5553,696,477,408,10103
Kaski,Annapurna Gaunpalika,524 4 39 4 001,40401,6029,565,5319,3909,2877,782,160,84,141,4418
Kaski,Machhapuchchhre Gaunpalika,524 4 39 4 002,40502,5512,513,4844,3516,3204,410,84,35,113,4133
Kaski,Madi Gaunpalika,524 4 39 4 003,10209,4508,613,3811,3122,1447,290,24,21,55,3010
Kaski,Pokhara Lekhnath Metropolitian City,524 4 39 1 001,40504,105630,3432,100844,66137,70961,51679,20424,10578,19463,91392
Kaski,Rupa Gaunpalika,524 4 39 4 004,40505,3780,380,3364,2689,1171,307,43,16,57,2786
Manang,Chame Gaunpalika,524 4 38 4 003,40203,279,24,255,102,77,125,23,12,74,228
Manang,Naraphu Gaunpalika,524 4 38 4 002,40201,122,2,120,112,4,0,0,0,0,2
Manang,Nashong Gaunpalika,524 4 38 4 004,40204,454,41,412,223,211,151,6,1,20,359
Manang,Neshang Gaunpalika,524 4 38 4 001,40202,593,110,477,344,184,156,11,6,22,374
Mustang,Bahragaun Muktikshetra Gaunpalika,524 4 45 4 003,40303,725,80,641,312,152,212,24,12,35,567
Mustang,Dalome Gaunpalika,524 4 45 4 002,40301,404,62,340,191,33,4,1,0,17,50
Mustang,Gharpajhong Gaunpalika,524 4 45 4 004,40302,874,68,805,230,145,517,63,30,145,775
Mustang,Lomanthang Gaunpalika,524 4 45 4 001,40304,532,73,459,154,18,5,1,0,31,415
Mustang,Thasang Gaunpalika,524 4 45 4 005,40305,770,115,647,350,103,295,12,6,12,546
Myagdi,Annapurna Gaunpalika,524 4 44 4 003,40401,3700,634,2865,2305,922,726,50,11,84,1992
Myagdi,Beni Municipality,524 4 44 3 001,40406,8652,891,7694,4784,2158,4204,688,437,580,6909
Myagdi,Dhawalagiri Gaunpalika,524 4 44 4 001,40403,3229,992,2188,1828,225,33,7,6,25,1313
Myagdi,Malika Gaunpalika,524 4 44 4 004,40404,4223,829,3273,2723,266,214,32,4,53,2161
Myagdi,Mangala Gaunpalika,524 4 44 4 005,40405,3825,657,3083,2617,415,171,33,6,80,2439
Myagdi,Raghuganga Gaunpalika,524 4 44 4 002,40402,4098,771,3231,2489,623,812,34,18,58,2126
Parbat,Bihadi Gaunpalika,524 4 42 4 003,41006,2941,355,2572,2001,552,401,36,10,104,2244
Parbat,Jaljala Gaunpalika,524 4 42 4 001,41002,5561,653,4844,3265,1036,1640,155,55,113,4272
Parbat,Kushma Municipality,524 4 42 3 001,41003,10311,932,9218,5779,3243,4308,660,343,692,8226
Parbat,Mahashila Gaunpalika,524 4 42 4 004,41005,2229,280,1895,1577,294,173,3,2,21,1594
Parbat,Modi Gaunpalika,524 4 42 4 002,41001,5479,588,4810,3264,2249,1552,123,29,63,4101
Parbat,Paiyu Gaunpalika,524 4 42 4 005,41007,3294,397,2793,2060,649,362,42,7,80,2316
Parbat,Phalebas Municipality,524 4 42 3 002,41004,5883,496,5216,4372,1072,1381,94,56,60,4373
Baglung,Badigad Gaunpalika,524 4 43 4 003,41107,6228,1023,4852,3463,882,740,57,14,179,3515
Baglung,Baglung Municipality,524 4 43 3 003,41101,15182,1013,13996,9084,4645,7167,1271,571,1470,12770
Baglung,Bareng Gaunpalika,524 4 43 4 006,41109,3240,463,2719,2049,378,151,17,2,75,2256
Baglung,Dhorpatan Municipality,524 4 43 3 001,41105,5706,1303,4264,3103,934,421,52,8,48,2613
Baglung,Galkot Municipality,524 4 43 3 002,41108,7711,689,6920,3612,1024,3101,196,40,64,6358
Baglung,Jaimuni Municipality,524 4 43 3 004,41110,7477,712,6555,4825,1246,967,78,18,138,5682
Baglung,Kathekhola Gaunpalika,524 4 43 4 005,41102,6128,553,5335,3722,1440,1771,139,48,47,4722
Baglung,Nisikhola Gaunpalika,524 4 43 4 001,41106,4893,1630,3065,2487,444,160,15,1,58,1714
Baglung,Tamankhola Gaunpalika,524 4 43 4 002,41104,2422,378,1800,1674,213,18,9,0,189,391
Baglung,Tarakhola Gaunpalika,524 4 43 4 004,41103,2495,177,2254,1807,546,264,33,15,79,1868
Nawalparasi,Binayi Tribeni Gaunpalika,524 4 47 4 004,40808,6916,492,6323,4344,1897,1197,147,46,109,5445
Nawalparasi,Bulingtar Gaunpalika,524 4 47 4 002,40802,3487,659,2669,2093,304,2,9,1,43,1942
Nawalparasi,Bungdikali Gaunpalika,524 4 47 4 001,40803,2998,451,2479,1858,242,1,3,0,24,1999
Nawalparasi,Devchuli Municipality,524 4 47 3 003,40805,9256,393,8792,6080,4851,1719,812,272,605,8110
Nawalparasi,Gaidakot Municipality,524 4 47 3 004,40801,13623,495,12948,8013,5768,6798,2025,756,1733,11661
Nawalparasi,Hupsekot Gaunpalika,524 4 47 4 003,40804,4588,466,3969,2433,1732,144,90,14,17,3366
Nawalparasi,Kawasoti Municipality,524 4 47 3 002,40806,14104,400,13526,8320,8024,3171,1337,401,763,12009
Nawalparasi,Madhya Bindu Municipality,524 4 47 3 001,40807,11943,965,10906,6374,5573,1319,517,182,508,9379
Gulmi,Chandrakot Gaunpalika,524 5 51 4 006,50403,5121,572,4448,3705,1871,1547,101,46,159,3680
Gulmi,Chhatrakot Gaunpalika,524 5 51 4 007,50411,5315,419,4822,3992,1329,1835,71,55,121,4332
Gulmi,Dhurkot Gaunpalika,524 5 51 4 003,50408,5307,655,4538,4182,429,123,3,1,34,3136
Gulmi,Gulmi Durbar Gaunpaika,524 5 51 4 005,50410,5266,402,4721,3678,1659,1806,64,44,51,4159
