District ,Name of municipalities,HLCIT_CODE,CBS_Code,Total,Without any facility,At least one facility,Radio,Television,Cable television,computer,internet,Tele phone ,Mobile phone
Dhankuta,Chaubise Gaunpalika,524 1 07 4 004,10707,4542,684,3808,2952,1191,117,76,14,51,3198
Dhankuta,Chhathar Jorpati Gaunpalika,524 1 07 4 002,10703,4232,540,3643,2483,1729,216,69,32,87,3334
Dhankuta,Dhankuta Municipality,524 1 07 3 003,10704,9460,587,8763,6110,5618,2123,832,370,1238,8005
Dhankuta,Khalsa Chhintang Sahidbhumi Gaunpalika,524 1 07 4 001,10705,3876,702,3129,2178,1121,60,28,6,70,2521
Dhankuta,Mahalaxmi Municipality,524 1 07 3 001,10701,5482,803,4625,2964,1796,256,53,22,181,4081
Dhankuta,Pakhribas Municipality,524 1 07 3 002,10702,4977,545,4375,3379,2063,335,113,39,147,3783
Dhankuta,Sangurigadhi Gaunpalika,524 1 07 4 003,10706,5047,899,4111,2868,1563,133,66,16,70,3598
Terhathum,Aatharai Gaunpalika,524 1 08 4 003,10801,4578,830,3630,3057,363,35,15,1,80,2551
Terhathum,Chhathar Gaunpalika,524 1 08 4 004,10806,3636,490,3097,2325,1188,26,38,10,48,2361
Terhathum,Laligurans Municipality,524 1 08 3 001,10805,3677,427,3198,2160,1608,314,80,42,116,2873
Terhathum,Menchhayayem Gaunpalika,524 1 08 4 001,10803,1794,289,1457,1187,281,73,21,6,48,1106
Terhathum,Myanglung Municipality,524 1 08 3 002,10804,4595,371,4180,3199,2168,1196,202,99,495,3630
Terhathum,Phedap Gaunpalika,524 1 08 4 002,10802,3804,602,3166,2601,546,31,25,4,30,2606
Sankhuwasabha,Bhotkhola Gaunpalika,524 1 09 4 002,10201,1379,604,771,621,23,0,0,0,2,329
Sankhuwasabha,Chainapur Municipality,524 1 09 3 003,10208,5938,883,4966,3826,1220,471,171,51,289,4108
Sankhuwasabha,Chichila Gaunpalika,524 1 09 4 004,10204,1518,303,1187,1027,57,6,5,0,59,813
Sankhuwasabha,Dharmadevi Municipality,524 1 09 3 004,10210,3958,614,3309,2306,1146,90,57,8,151,2856
Sankhuwasabha,Khandabari Municipality,524 1 09 3 001,10206,7446,870,6405,4658,1927,1698,472,179,913,5151
Sankhuwasabha,Madi Municipality,524 1 09 3 005,10209,3216,373,2792,2130,836,171,39,7,149,2364
Sankhuwasabha,Makalu Gaunpalika,524 1 09 4 001,10202,2922,640,2255,1920,53,6,6,0,26,1344
Sankhuwasabha,Panchakhapan Municipality,524 1 09 3 002,10207,3634,788,2828,2164,402,56,26,5,45,2315
Sankhuwasabha,Sabhapokhari Gaunpalika,524 1 09 4 005,10205,2192,449,1715,1491,112,46,13,20,49,1226
